# BEAST v1.10.5 Prerelease #23570d1
# Generated Sun Feb 07 17:49:53 CET 2021 [seed=1612716592799]
# -overwrite Analysis_2_j_2000.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.halfDF	treeLengthPrecision1	treeLengthPrecision2	treeLengthPrecision3	treeLikelihood	branchRates	location.traitLikelihood	skygrid
0	-9.065041765561177E10	-1545.0422761061513	-9.065041611056949E10	0.584492241862	2018.9387954293707	6.376630023459416	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	0.9833465822105418	0.3050392142275255	-0.07028072176316615	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	330176.1645704114	0.5	0.3188315011729708	0.3188315011729708	0.012753260046918832	-38339.09235474356	-1059.6634733096073	-9.065037777147713E10	-184.63789437314318
100000	-25195.169222667602	-1234.687300644094	-23960.481922023508	0.7828664875237583	2018.740421183709	9.898630505014896	293.5130070129089	0.18731206341680876	0.15670067614887503	0.22721865043925954	0.2408965089782132	0.24176443731023736	0.19635586092428792	0.14736281090702963	0.05547709325185465	0.13841021685597596	0.12277389402092695	0.07834581096462498	0.11644374742515452	0.1069845677082594	0.2518326029356204	0.2836225698106562	0.16171356559511002	0.15606876155413074	0.14865902354662097	0.17612369354436203	0.25534176970274836	0.21795421278553828	0.2981735729273871	0.246169508155696	0.2657001223435499	1.0	0.9547647436475313	1.2371347030011046	0.8120089634584623	0.9253728578816866	1.165660767369098	0.9050579646421169	0.3262295765789475	0.1991608996461413	0.2464825528760568	0.22812697089885403	0.05951296590736525	0.004403016554671622	0.00861171610241947	0.0032827558418250607	1.5096970896202595	-0.04098878773760528	2.660811381437837E-10	2.4057934336740602E-11	2.4057934336740602E-11	2.07730689645131E-10	-0.1023295251806778	3.7980224674347057E9	-4.398607412660238E8	-4.398607412660238E8	4.864866826163618E9	201262.4256467855	7.240369055355	2.6338388708391398E-9	2.056249341349076E-9	2.3814060271330585E-10	-21884.939509911455	-1059.6634733096073	-2075.5424121120504	-95.57191765402952
200000	-25240.309594644383	-1347.0159371424431	-23893.29365750194	1.5771030612867918	2017.946184609946	13.79111459484762	266.067723843861	0.5671632187404113	0.5622512502338114	0.5336562821269022	0.5839524698103944	0.5333232148205614	0.4618081628011221	0.5475788016720701	0.4964416116003656	0.48529157958973057	0.49690273323397094	0.33975253272672074	0.3912317931528537	0.3618330542258803	0.2895351706989996	0.24253478698366224	0.23720411490474066	0.16222431996529957	0.19386430858603904	0.2596173538969838	0.22916510892909064	0.2109749815880354	0.16637406605006022	0.11944266915534726	0.11986202754928132	1.0	0.7036318215687898	1.49215823054402	0.6406481821036591	0.8311916987100877	1.3601078668577653	0.9722622002156766	0.3290321299482546	0.19752611115137153	0.2491840285027674	0.22425773039760627	0.06276907358502806	0.004066748050694751	0.006536218538154059	0.0022345103487661495	1.2824870499385737	0.049408087662459216	3.72126799434414E-10	-9.630643525813334E-12	-9.630643525813334E-12	2.6584395590664276E-10	0.030619383247088197	2.6897778605848536E9	9.744171783245075E7	9.744171783245075E7	3.7651351637292433E9	146055.6348702144	2.3542686023138764	5.13204333481388E-9	3.666284460256128E-9	-1.3281730848661902E-10	-21841.412925163484	-1059.6634733096073	-2051.880732338458	-114.40868143280339
300000	-25342.037086718276	-1438.9303635139638	-23903.106723204313	1.6427485722893598	2017.8805390989435	15.319780592750654	7.354485119003836	1.1600708863546085	1.147108399694924	1.0767085110290535	0.9464007372152884	1.2117474119795726	0.7258371290474666	0.817828769647417	0.7583144019736094	0.7824456736057545	0.4861998729826485	0.025610277058971787	-0.23453669219152234	-0.5093737505421341	-0.5530121445856081	-0.5144585164116257	-1.1372836311112904	-0.46023105942807696	-0.2537865540344495	-0.4615090644465283	-0.04102646643451702	0.1681300556157087	0.2723668441247111	-0.2879092940323814	-0.5884564627707347	1.0	0.6547074258987677	1.6248780060500096	0.6200464760817282	0.8039547634892297	1.4712457777438803	0.8251675507363854	0.32587403826500516	0.19962126707502706	0.2446774305685914	0.22982726409137633	0.08965854398990393	0.0028436851259947687	0.002400949796348736	0.002427603527165287	0.8674435820228682	0.015269205636306396	4.873612423747024E-10	-9.200979540187909E-11	-9.200979540187909E-11	2.7798025946798765E-10	0.2499778869234811	2.188631336973977E9	7.244238202760123E8	7.244238202760122E8	3.8371576799347506E9	134214.17294231488	1.4626263849699306	7.466267302590812E-9	4.258596584165468E-9	-1.4095698779406656E-9	-21855.229383755537	-1059.6634733096073	-2047.8773394487755	-174.20308105386405
400000	-25252.538818222307	-1387.8881957452882	-23864.65062247702	0.8289767314609935	2018.6943109397719	9.886195799885083	11.375016698132445	0.2920001880571408	0.2816375028855578	0.40983595023161473	0.6904744332844917	0.4659850202339136	-0.31388860331005874	-0.009738459414709515	-0.2945118580640708	-0.7448015294504002	-0.8889432648691625	-0.990711699216422	-0.7364370523505279	-0.9466425122724589	-1.0889696541011846	-1.4411294744745409	-1.2303226321029639	-1.3278249533674975	-1.9481355706557615	-2.1652017416911233	-2.469075754386024	-2.2633868311890613	-2.55656945301119	-3.0363614974592377	-2.3731227017748227	1.0	0.5863654774689371	1.7229185618793983	0.6441743931913977	0.7344455194599114	1.6337152458148663	0.6783808021854901	0.3240453144032414	0.19654480457118503	0.24970595669469875	0.2297039243308747	0.03164300798065632	0.003349261870996848	0.00376079703845974	0.0031433036990779263	1.083791174023581	-0.07763755741814396	4.827806364644423E-10	-1.428394286933235E-10	-1.428394286933235E-10	3.8119782889011613E-10	0.3329645317626602	2.3296068583186207E9	8.729318151971982E8	8.729318151971983E8	2.9504078893775544E9	200627.53522134348	1.8600309155532202	4.772863900480617E-9	3.768596374898778E-9	-1.4121385600059198E-9	-21820.18268364147	-1059.6634733096073	-2044.4679388355526	-128.83567968285175
500000	-25220.98540668153	-1377.5029771274458	-23843.482429554086	1.422569872623225	2018.1007177986096	10.025222537169329	0.6748653547596566	0.07405225067679289	1.572430460616338	0.8363477164424883	0.5206066595592203	1.0074848776324816	-0.2559189262793816	-0.542536233216751	-1.5982774078171045	-2.127666602697596	-2.2892649840405097	-3.159491257396147	-2.6356874517199795	-3.44414162501098	-1.8609977451208322	-2.9793825753903898	-2.060706554976486	-0.6433874639017079	-0.1331201257187843	0.44268622410001485	1.7133871891046095	1.1153573487221258	0.8639218324095077	2.431856963436836	2.2699702235713546	1.0	0.5872509351308232	1.8435804314441064	0.5585713771379015	0.6891732937032665	1.7007517299097816	0.6206722326741202	0.31814515562823775	0.20461746138563475	0.25198397753780766	0.2252534054483196	0.07332070818643083	0.004043141758921527	0.004098239552439315	0.0033070045442070424	0.8283929330852744	-0.018900173271017753	7.042599917246584E-10	-1.7420330163287533E-10	-1.7420330163287533E-10	5.236267198283841E-10	0.2868659310075126	1.5472571369418898E9	5.1475085499580026E8	5.147508549958003E8	2.0810078194935277E9	201401.1653167747	1.3738217207473142	7.0603631410647305E-9	5.249474392687566E-9	-1.7464268655792083E-9	-21812.312100630883	-1059.6634733096073	-2031.1703289232037	-136.52466650628384
600000	-25232.334427519294	-1418.9855835792084	-23813.348843940086	0.6433372391294166	2018.8799504321034	8.940729909863936	5.180989600037427	0.8140928240480111	0.8691995117954777	1.4535426061654368	0.888452299099376	0.4432558751798879	0.1030184891070741	-0.5248474738274878	-1.2407470472133808	-2.0383115669715206	-2.5385565436519193	-2.5789740169208697	-2.4875308895744004	-2.6274333690059413	-2.5182971288546434	-2.1824677834703086	-2.357053995722315	-0.9908631106079437	-0.8544534293564483	-0.6829766198211038	-0.11271407404445455	0.6076442572958642	1.133815979926879	0.9467904440299946	1.041217952842195	1.0	0.7184765847774677	1.9689693974375873	0.3362198176664282	0.6025540316549166	1.7510239541594665	0.6227562143041343	0.3290151430629825	0.19264748862263592	0.24834072118936518	0.22999664712501608	0.09999720501981095	0.0034996004521956905	0.002871747048432115	0.0037267146606076106	0.7002864097620217	0.09986182160380533	1.2507176144510797E-9	-1.6462218574753347E-10	-1.6462218574753347E-10	6.59696770593578E-10	0.18123269619912669	8.266939943939155E8	2.062950409459082E8	2.062950409459082E8	1.567327273133475E9	211118.84754991106	1.007791458393496	1.1182328384316438E-8	5.89817064828665E-9	-1.471842499940149E-9	-21797.386869669397	-1059.6634733096073	-2015.9619742706905	-127.71887262606472
700000	-25236.222610748035	-1430.2332152295005	-23805.989395518533	0.6935332240626493	2018.8297544471702	9.733204934678158	3.7465710665714385	1.129124189990046	1.8091232341577033	1.1535869216979115	1.127628352150039	0.38397126696781575	0.6889828803842377	0.26345722548048955	-0.8552198350986457	-0.7026811076860326	-2.4086055209093233	-2.5264080353371816	-2.1170034821661075	-2.8001471365946946	-3.0084627332802176	-2.7301557002022117	-2.3327970634852764	-2.453225636800714	-1.536215146242072	-2.6482974714294847	-3.059966665460369	-3.9038385445162977	-3.708942661633111	-3.1345283804597814	-3.5319484722162438	1.0	0.7423134397693677	2.193796586386699	0.302773819986777	0.5226916375329621	1.6589373741575297	0.5794871421666642	0.3303378704234771	0.1940533449634909	0.25087812466754494	0.2247306599454871	0.030751321432428796	0.004076362331975893	0.005008200542295534	0.0033734441265822752	1.0561933391452214	0.024189496655736536	7.572612944693879E-10	-6.713346552270841E-11	-6.713346552270841E-11	5.311832146313884E-10	0.10585076850213766	1.335511735966893E9	1.687883363255806E8	1.6878833632558063E8	1.903921882507444E9	194982.24460720632	1.2506116227095307	7.370579368170216E-9	5.170115085868437E-9	-6.534237779076715E-10	-21786.716615273464	-1059.6634733096073	-2019.2727802450684	-143.19496720179558
800000	-25215.869153084986	-1427.269403704471	-23788.599749380515	0.643282209449174	2018.8800054617836	9.629464471845674	0.062389189612545165	14.328007857233542	2.436179709735851	1.0454960231946269	0.9292940121159146	1.4950457593163085	0.5740340120039085	0.2322357405644131	-0.3196667082463558	-3.9357712700449827	-4.863810577528296	-2.810295874633877	0.6336956850220674	4.2912860426030175	4.502315297961007	-0.10626284420821752	-0.1311100220066468	0.43053980570229466	2.285352476207302	3.6749758109867154	11.010771372028081	10.752407124798953	6.634656241025162	7.096549521898689	9.060713745140191	1.0	0.7703159242730072	2.270059884434778	0.19461179547779067	0.4765591246627711	1.7592747785127156	0.5291784926389381	0.3200506772476383	0.197162895467319	0.2424117606418131	0.24037466664322965	0.007013076035539161	0.003888545360829583	0.00497416095912679	0.0032754706301664892	0.9220898487170495	0.030615777229221017	1.3597830278521818E-9	-3.3006608153414075E-10	-3.3006608153414075E-10	7.105269651432064E-10	0.33579622308182483	8.288746008203696E8	3.85042939954874E8	3.85042939954874E8	1.586272822434158E9	201278.15788271546	1.285196564230352	1.3093982356121322E-8	6.841994167134836E-9	-3.178359605494326E-9	-21766.811461931837	-1059.6634733096073	-2021.7882874486786	-171.29504823674384
900000	-25176.163144312526	-1415.3139037552717	-23760.849240557254	0.8386956189014778	2018.6845920523313	9.352003967448079	0.23706466736752635	-1.0538580059995457	0.5003080994139022	1.483825742296294	0.886518535400208	1.1090024558820808	0.181534284452531	-0.7712758256948218	-1.1008320224690848	-3.297767565778052	-2.5498588125031185	-2.5636239294459484	1.1083030883807965	-0.4203712299626243	-0.08276574507105802	0.5930751650907117	-0.5370722919790579	-2.278240120207287	0.37100441080629865	-0.5425065027534484	-3.7086000933253245	-3.7646961377557866	-5.110752051339673	-4.287454292737007	-4.834276400581054	1.0	0.5530433038017201	2.4745063447203126	0.25387021425369183	0.28793956556144884	1.9759820575620817	0.4546585141007454	0.3178939575796588	0.19909587607110069	0.24933377474188842	0.23367639160735176	0.036988729732070236	0.0034869839363586078	0.002934456655411209	0.003384029304560023	0.7378166211308439	-0.03618774427936108	1.110661714601357E-9	-2.276348499583879E-12	-2.276348499583879E-12	1.3383506344575435E-9	0.001867079867878718	9.003672971281903E8	1531399.6893817487	1531399.689381749	7.471909529931996E8	213870.2810402801	0.9723550102943035	1.0386912761444575E-8	1.25162604432836E-8	-2.128842019940292E-11	-21757.994827200328	-1059.6634733096073	-2002.8544133569283	-147.60894811026645
