trait	collection_date	latitude	longitude
0-1-PTL	2019-01-18	692308.721150565	586115.996613493
1-1-iPTL	2019-04-06	692308.721150565	586115.996613493
2-1-PTL-2	2019-04-17	692218.181017508	584075.749394926
3-1-PTS	2019-04-26	689421.043379699	583384.478371987
4-1-PTL-2	2019-04-30	672779.432521283	567170.036677044
5-1-PCS	2019-04-18	697518.855599	573843.664483338
8-1-PCS	2019-04-22	686630.287900198	566500.054226425
8-3-PCS	2019-05-07	686630.287900198	566500.054226425
9-2-BOW	2019-04-26	694750.312366087	580958.706212601
11-1-PLT	2019-04-30	695346.012671555	571796.51820621
11-1-POO	2019-05-13	695346.012671555	571796.51820621
11-4-POO	2019-05-13	695346.012671555	571796.51820621
13-5-BOW	2019-05-02	697506.937028237	572831.548076106
16-1-BOW	2019-05-03	688757.137130724	575719.240825508
16-1-POO	2019-05-10	688757.137130724	575719.240825508
17-1-POO	2019-05-09	688907.933062323	575992.319692876
19-1-PCS	2019-05-02	675414.406563334	551927.87223806
19-2-PCS	2019-05-09	675414.406563334	551927.87223806
20-1-PCS	2019-05-03	690004.979347152	548382.917965729
21-1-POO	2019-05-14	676188.56754235	548826.029507702
21-2-POO	2019-05-14	676188.56754235	548826.029507702
21-3-PTL	2019-05-03	676188.56754235	548826.029507702
22-4-PTS	2019-06-07	670227.304993083	557218.846388685
22-6-PCS	2019-05-03	670227.304993083	557218.846388685
23-1-PCS	2019-05-04	691309.014020686	565095.295691725
23-2-PCS	2019-05-10	691309.014020686	565095.295691725
24-1-PCS	2019-05-04	682703.254376486	582709.148693874
24-2-POO	2019-05-20	682703.254376486	582709.148693874
24-3-POO	2019-05-20	682703.254376486	582709.148693874
24-4-POO	2019-05-20	682703.254376486	582709.148693874
26-1-POO	2019-05-06	697821.300479907	572412.916075256
27-2-POO	2019-05-10	695462.123995089	571322.919539318
27-8-PTLB	2019-05-06	695462.123995089	571322.919539318
28-2-PCS	2019-05-05	698887.883019094	577983.733377048
29-2-PTS	2019-05-05	675237.714440561	568842.222559475
30-1-PCS	2019-05-06	678339.993199309	555606.635583044
30-2-PCS	2019-5-22	678339.993199309	555606.635583044
31-2-POO	2019-05-17	714048.48275339	567366.003488723
31-3-POO	2019-05-17	714048.48275339	567366.003488723
31-E-POO	2019-05-08	714048.48275339	567366.003488723
32-1-PCS	2019-05-09	687530.905546869	581216.33718979
33-1-PCS	2019-05-13	668222.954584236	567353.542659035
33-4-PTS	2019-05-10	668222.954584236	567353.542659035
34-2-PCS	2019-05-10	697102.962098432	582016.303374393
35-4-PCS	2019-5-16	693126.339699532	565274.788168713
36-1-POO	2019-05-13	675804.760129933	548765.858285481
36-2-POO	2019-05-13	675804.760129933	548765.858285481
37-A-POO	2019-05-14	695717.228057289	571972.400532655
37-B-POO	2019-05-14	695717.228057289	571972.400532655
38-1-POO	2019-05-15	662576.069417884	569643.35331945
