Update september 2019;Beslag San;itelnr.;Beslag Status Code;Huisvestingtype code;Beslag Diersoort Code;Beslag SubDiersoort Code;Beslag Diersubtype code lijst;Beslag Aantal;Beslag Productie Code;Beslag Productie;Beslag Productie Code Lijst;Beslag Huisvestingstype Code;Locatie beslag LCE Code;Beslag Inrichtingslocatie Geografisch X-coördinaat;Beslag Inrichtingslocatie Geografisch Y-coördinaat;Capaciteit beslag Capaciteit (aantal)
#N/A;BE10001097;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;158630;204616;
#N/A;BE10001348;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;BIO;ANT;161211;202286;7800
#N/A;BE10002751;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;OUT;ANT;168280;223789;75000
#N/A;BE10003073;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;BIO;ANT;167147;224417;22500
#N/A;BE10003197;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;167005;227456;
#N/A;BE10004053;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;168107;224566;
#N/A;BE10004460;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;167842;227478;
#N/A;BE10004703;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;168424;224832;12840
#N/A;BE10004932;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;167574;227515;
#N/A;BE10006684;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;165850;206447;
#N/A;BE10007168;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;153298;236468;
#N/A;BE10007249;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;158219;240615;
#N/A;BE10007303;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;153650;238304;
#N/A;BE10007540;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;153298;236468;78000
#N/A;BE10007702;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;158540;237661;80000
#N/A;BE10007702;-302;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;158540;237661;80000
#N/A;BE10007702;-303;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;158540;237661;140000
#N/A;BE10009608;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;153006;236899;80000
#N/A;BE10010428;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;CAGE;ANT;151342;223342;15552
#N/A;BE10010843;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;158546;203388;
#N/A;BE10011254;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;BL;PO Opfok - leg;BL;NSUHS;ANT;159786;232671;73800
#N/A;BE10011491;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;160383;237533;
#N/A;BE10012201;-301;STP;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;;ANT;159539;229752;
#N/A;BE10012277;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;159330;230617;
#N/A;BE10012293;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;159020;230919;
#N/A;BE10012390;-301;STP;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;;ANT;159102;229158;
#N/A;BE10012528;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;158380;229106;226050
#N/A;BE10013109;-301;STP;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;;ANT;160342;237153;
#N/A;BE10013222;-301;STP;PYPRO;PLTR;CHCK;CHCK;4;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;CAGE;ANT;159561;229630;
#N/A;BE10014938;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;155073;200349;
#N/A;BE10015421;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;CAGE;ANT;171883;230646;362880
#N/A;BE10015667;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;172754;231826;
#N/A;BE10015926;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;170238;231515;30000
#N/A;BE10016019;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;BRM;VOV Opfok - vermeerdering - vlees;BRM;NSUHS;ANT;170361;233699;60000
#N/A;BE10016019;-302;ACT;PYPRO;PLTR;CHCK;CHCK;4;BRM;VOV Opfok - vermeerdering - vlees;BRM;NSUHS;ANT;170361;233699;60000
#N/A;BE10016418;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;170322;231477;19600
#N/A;BE10016507;-301;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;170973;233947;282000
#N/A;BE10016507;-302;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;170973;233947;282000
#N/A;BE10016507;-303;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;170973;233947;282000
#N/A;BE10016507;-304;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;170973;233947;282000
#N/A;BE10016957;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;170706;234986;48000
#N/A;BE10016991;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;170378;233365;
#N/A;BE10017171;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;173843;233456;17000
#N/A;BE10017325;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;172791;231895;
#N/A;BE10017376;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;HERM;VV Broedeieren - vermeerdering - vlees;HERM;NSUHS;ANT;170782;235186;12351
#N/A;BE10017503;-301;STP;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;BIO;ANT;169276;231536;
#N/A;BE10017740;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;168848;233031;
#N/A;BE10018615;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;174381;222646;480000
#N/A;BE10018615;-301;ACT;PYPRO;PLTR;CHCK;CHCK;1;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;174775.1594;222177.0753;160000
#N/A;BE10018747;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;174730;222256;40000
#N/A;BE10018933;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;174465;222691;
#N/A;BE10019123;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;178185;222621;127500
#N/A;BE10019123;-302;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;178185;222621;52500
#N/A;BE10019484;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;173237;213525;
#N/A;BE10020598;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;173488;210134;
#N/A;BE10020611;-301;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;173831;210421;27000
#N/A;BE10020611;-302;ACT;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;173831;210421;30000
#N/A;BE10022681;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;166645;213237;
#N/A;BE10023945;-301;ACT;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;171779;228333;40000
#N/A;BE10023961;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;171993;228246;
#N/A;BE10024577;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;172526;227308;
#N/A;BE10025514;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;OUT;ANT;149422;224470;
#N/A;BE10026294;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;169312;208341;
#N/A;BE10027134;-301;ACT;PYLCP;PLTR;CHCK;CHCK;3;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;FREE;ANT;156954;200251;597
#N/A;BE10027134;-301;ACT;PYLCP;PLTR;CHCK;CHCK;1;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;FREE;ANT;161327.8678;196615.6967;199
#N/A;BE10027525;-301;ACT;PYLCP;PLTR;CHCK;CHCK;2;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;BIO;ANT;171934;223379;9998
#N/A;BE10028017;-401;STP;BIPRO;BIRD;OSTR;OSTR;3;MEATP;PV Vleesproductie;MEATP;OUTDO;ANT;171296;221360;66
#N/A;BE10029684;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;BRM;VOV Opfok - vermeerdering - vlees;BRM;NSUHS;ANT;163190;229902;36000
#N/A;BE10029684;-302;ACT;PYPRO;PLTR;CHCK;CHCK;4;BRM;VOV Opfok - vermeerdering - vlees;BRM;NSUHS;ANT;163190;229902;68000
#N/A;BE10029684;-303;ACT;PYPRO;PLTR;CHCK;CHCK;4;BRM;VOV Opfok - vermeerdering - vlees;BRM;NSUHS;ANT;163190;229902;74400
#N/A;BE10029757;-301;ACT;PYPRO;PLTR;CHCK;CHCK;9;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;166086;233563;315000
#N/A;BE10029757;-302;ACT;PYPRO;PLTR;CHCK;CHCK;9;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;166086;233563;315000
#N/A;BE10029757;-303;ACT;PYPRO;PLTR;CHCK;CHCK;9;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;166086;233563;315000
#N/A;BE10029757;-304;ACT;PYPRO;PLTR;CHCK;CHCK;9;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;166086;233563;315000
#N/A;BE10029757;-305;ACT;PYPRO;PLTR;CHCK;CHCK;9;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;166086;233563;315000
#N/A;BE10030003;-301;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;164369;230704;54000
#N/A;BE10030003;-301;ACT;PYPRO;PLTR;CHCK;CHCK;1;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;166112;233289;13500
#N/A;BE10030003;-302;ACT;PYPRO;PLTR;CHCK;CHCK;4;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;164369;230704;144000
#N/A;BE10030003;-302;ACT;PYPRO;PLTR;CHCK;CHCK;1;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;166112;233289;36000
#N/A;BE10030283;-301;ACT;PYLCP;PLTR;CHCK;CHCK;2;CELAY;PE Consumptie-eieren - legbedrijf;CELAY;CAGE;ANT;163428;227983;9998
#N/A;BE10030410;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;166660;234393;
#N/A;BE10030909;-301;STP;PYPRO;PLTR;CHCK;CHCK;2;MEATP;PV Vleesproductie;MEATP;;ANT;167555;233676;
#N/A;BE10031018;-301;STP;PYPRO;PLTR;CHCK;CHCK;3;MEATP;PV Vleesproductie;MEATP;;ANT;166314;233588;
#N/A;BE10031182;-301;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;164919;232817;96000
#N/A;BE10031182;-302;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;164919;232817;96000
#N/A;BE10031182;-303;ACT;PYPRO;PLTR;CHCK;CHCK;6;MEATP;PV Vleesproductie;MEATP;NSUHS;ANT;164919;232817;114000
