farm_density,cumulated_max_capacity
4,180900
0,0
4,180900
1,17000
4,180900
1,500
4,180900
12,207500
5,57848
12,207500
0,0
12,207500
6,38500
0,0
12,207500
2,13400
12,207500
6,104000
6,45390
6,45390
6,45390
6,104000
8,211000
6,45390
6,45390
6,194874
6,194874
2,113290
6,194874
6,194874
6,104000
6,194874
1,20000
6,194874
6,194874
6,194874
2,13400
2,750000
0,0
2,750000
2,13400
0,0
4,57691
0,0
0,0
2,68000
2,13400
2,13400
2,13400
9,165800
11,4566800
2,13400
1,108500
11,4566800
11,4566800
11,4566800
11,4566800
11,4566800
11,4566800
3,32000
4,36999
11,4566800
11,4566800
3,27000
6,38500
9,165800
2,13400
2,13400
5,57848
12,207500
5,57848
5,57848
4,96504
5,117500
5,117500
5,117500
5,117500
9,179370
1,19500
4,96504
9,158500
4,97000
0,0
4,97000
4,96504
2,29000
11,444721
12,207500
11,444721
11,444721
11,444721
2,22280
11,444721
0,0
7,545000
8,410200
9,158500
7,545000
9,158500
9,158500
9,158500
1,19500
9,158500
9,158500
1,4999
0,0
0,0
2,22280
11,444721
11,444721
11,444721
5,253200
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
6,104000
11,444721
6,104000
13,328744
6,189473
5,253200
6,189473
6,189473
11,444721
11,444721
1,22730
6,239240
3,145124
6,239240
3,145124
0,0
11,444721
6,189473
6,239240
11,444721
2,20000
1,22200
11,444721
11,444721
11,444721
4,106000
1,135168
4,180900
1,135168
5,85500
0,0
1,135168
1,135168
1,135168
4,59499
6,58100
3,13100
6,58100
6,58100
1,9500
6,58100
0,0
3,15400
4,114980
0,0
1,17000
8,329538
8,211000
10,90600
1,4999
0,0
6,3620600
6,126500
5,118125
5,118125
5,118125
5,118125
19,354444
3,59500
0,0
19,354444
3,59500
5,142500
0,0
5,47000
0,0
5,118125
4,97000
5,118125
5,118125
5,118125
5,118125
5,119466
19,354444
4,36999
6,126500
6,3620600
2,17999
6,3620600
6,3620600
