farm_density,cumulated_max_capacity
4,180900
4,180900
4,180900
4,180900
0,0
5,178820
1,30000
0,0
4,59499
2,2450
3,13100
8,69999
2,29000
1,9500
1,9500
6,58100
3,15400
4,114980
0,0
4,114980
1,4999
0,0
4,57691
2,13400
2,13400
2,13400
2,68000
2,13400
2,68000
0,0
9,165800
2,13400
2,13400
2,13400
12,207500
11,4566800
11,4566800
11,4566800
11,4566800
4,36999
2,13400
1,19900
2,13400
2,13400
1,108500
9,165800
9,165800
1,19900
11,4566800
9,165800
3,32000
11,4566800
3,27000
9,165800
6,38500
9,165800
0,0
9,165800
0,0
6,38500
12,207500
12,207500
0,0
2,55450
2,55450
6,45390
6,45390
6,104000
6,194874
8,211000
8,329538
6,194874
2,113290
6,194874
6,194874
6,194874
6,194874
6,194874
6,194874
1,20000
6,104000
6,194874
1,4999
1,4999
2,22280
1,4999
2,22280
0,0
2,22280
9,158500
9,158500
9,158500
1,19500
9,158500
9,158500
9,158500
9,158500
9,158500
0,0
7,545000
2,22280
8,410200
10,90600
1,4999
0,0
1,4999
1,4999
1,4999
3,145124
5,253200
6,239240
4,106000
3,145124
0,0
5,253200
6,189473
1,4999
11,444721
11,444721
1,22730
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
6,104000
11,444721
13,328744
6,104000
11,444721
11,444721
1,4999
6,189473
1,4999
2,20000
11,444721
4,106000
1,22200
2,20000
6,189473
6,189473
5,178820
5,178820
5,57848
3,67000
5,85500
0,0
1,135168
5,85500
1,135168
1,135168
0,0
5,117500
1,3500
0,0
0,0
19,354444
4,36999
0,0
6,3620600
2,17999
6,3620600
6,3620600
6,126500
4,36999
3,59500
5,118125
0,0
3,59500
3,59500
5,119466
5,119466
5,142500
5,47000
0,0
4,97000
3,59500
5,118125
19,354444
5,118125
5,118125
5,118125
5,118125
19,354444
5,119466
1,4999
8,329538
5,117500
9,179370
5,117500
5,117500
2,113900
5,117500
2,113900
4,96504
4,97000
0,0
