farm_density,cumulated_max_capacity
4,180900
5,59000
5,117500
5,59000
5,117500
5,117500
2,13400
5,117500
2,13400
0,0
9,179370
2,13400
5,178820
12,207500
12,207500
1,18500
1,18500
0,0
8,329538
0,0
1,4999
0,0
5,118125
10,90600
6,126500
0,0
5,57848
4,97000
4,97000
19,354444
19,354444
3,59500
19,354444
0,0
5,142500
0,0
0,0
5,47000
5,118125
19,354444
5,118125
5,118125
5,118125
5,118125
19,354444
5,119466
6,3620600
2,17999
6,3620600
6,3620600
4,36999
6,126500
5,59000
5,253200
5,59000
5,59000
12,207500
5,57848
4,57691
5,57848
12,207500
6,104000
6,45390
6,104000
6,45390
6,104000
8,211000
4,167499
4,167499
6,104000
6,194874
6,104000
8,329538
6,194874
6,194874
1,20000
6,194874
6,194874
6,194874
2,113290
11,4566800
12,207500
12,207500
12,207500
0,0
1,12000
0,0
0,0
0,0
6,38500
2,68000
0,0
11,4566800
9,165800
9,165800
11,4566800
2,13400
2,13400
4,36999
9,165800
1,108500
9,165800
11,4566800
9,165800
9,165800
6,38500
9,165800
3,27000
11,4566800
11,4566800
3,32000
11,4566800
5,253200
5,253200
5,253200
7,104000
11,444721
11,444721
11,444721
7,104000
11,444721
6,104000
13,328744
6,104000
11,444721
11,444721
11,444721
11,444721
1,22730
11,444721
6,189473
11,444721
6,189473
6,189473
6,189473
6,189473
5,59600
6,189473
3,145124
6,239240
3,145124
0,0
11,444721
11,444721
11,444721
2,20000
4,106000
11,444721
1,22200
2,20000
4,180900
1,135168
0,0
1,135168
0,0
1,135168
0,0
1,4999
2,22280
2,22280
0,0
2,22280
2,22280
2,29000
7,545000
2,22280
8,410200
1,19500
9,158500
9,158500
9,158500
9,158500
1,19500
9,158500
9,158500
9,158500
5,85500
0,0
0,0
1,135168
1,135168
1,135168
0,0
0,0
4,97000
0,0
0,0
4,97000
4,96504
3,13100
4,59499
1,9500
6,58100
1,9500
3,15400
4,114980
0,0
4,114980
4,180900
0,0
