farm_density,cumulated_max_capacity
4,180900
4,180900
4,180900
0,0
4,180900
5,117500
5,117500
5,117500
5,117500
5,117500
12,207500
5,117500
9,179370
2,113900
9,158500
4,97000
4,97000
4,96504
2,29000
4,96504
0,0
4,97000
3,13100
5,117500
0,0
0,0
0,0
2,13400
0,0
0,0
0,0
2,22280
7,545000
2,22280
2,22280
9,158500
9,158500
9,158500
9,158500
1,19500
9,158500
9,158500
1,4999
0,0
0,0
1,4999
10,90600
1,4999
0,0
12,207500
2,13400
6,194874
9,179370
2,68000
3,18300
2,13400
8,410200
9,179370
6,38500
0,0
11,4566800
2,13400
11,4566800
11,4566800
11,4566800
11,4566800
6,38500
9,165800
11,4566800
11,4566800
3,27000
11,4566800
11,4566800
3,32000
1,108500
9,165800
4,36999
2,13400
2,13400
2,13400
2,68000
0,0
6,104000
6,194874
6,104000
6,45390
8,211000
6,194874
8,329538
6,194874
6,194874
2,113290
6,194874
6,194874
6,194874
6,104000
6,194874
6,194874
1,20000
6,194874
12,207500
4,57691
0,0
6,189473
8,69999
4,59499
8,69999
6,58100
4,114980
3,15400
0,0
4,114980
6,189473
6,189473
6,189473
11,444721
7,104000
6,189473
1,4999
2,20000
1,22200
2,20000
11,444721
1,4999
4,106000
11,444721
6,189473
6,189473
6,189473
5,253200
6,189473
1,22730
6,189473
6,239240
0,0
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
13,328744
11,444721
13,328744
6,104000
6,239240
3,145124
3,145124
0,0
0,0
1,135168
1,135168
5,85500
1,135168
0,0
0,0
1,135168
0,0
5,57848
4,36999
5,57848
19,354444
2,17999
2,17999
5,57848
2,17999
6,3620600
6,3620600
6,3620600
19,354444
5,118125
19,354444
5,118125
5,118125
5,119466
5,118125
5,118125
5,118125
19,354444
3,59500
3,59500
0,0
0,0
0,0
5,142500
0,0
5,47000
19,354444
4,97000
4,36999
6,126500
2,13400
0,0
2,13400
1,9000
8,329538
1,4999
