farm_density,cumulated_max_capacity
5,59000
2,55450
0,0
2,55450
6,194874
13,328744
13,328744
0,0
6,45390
0,0
13,328744
5,117500
13,328744
0,0
0,0
3,105700
13,328744
0,0
0,0
6,104000
13,328744
0,0
13,328744
0,0
4,144550
0,0
0,0
0,0
13,328744
13,328744
0,0
0,0
0,0
0,0
1,100
1,92000
4,144550
8,410200
1,22200
8,410200
0,0
4,144550
1,22200
4,60000
1,100
1,22200
1,22200
4,144550
8,410200
0,0
0,0
0,0
0,0
0,0
8,410200
0,0
1,22500
0,0
8,410200
0,0
0,0
0,0
0,0
0,0
6,104000
1,22200
1,4999
0,0
1,4999
0,0
0,0
8,410200
4,144550
0,0
0,0
7,343999
0,0
7,343999
8,211000
3,105700
5,85500
0,0
0,0
5,71500
4,180900
0,0
0,0
1,2500
1,4999
7,343999
4,180900
0,0
4,180900
7,343999
0,0
8,410200
0,0
1,22200
1,42500
0,0
0,0
0,0
19,354444
1,31250
0,0
0,0
0,0
0,0
4,180900
1,0
0,0
0,0
0,0
8,410200
0,0
8,211000
0,0
8,410200
0,0
1,15000
0,0
0,0
0,0
1,4999
0,0
0,0
8,211000
8,211000
2,22280
0,0
0,0
4,144550
7,343999
0,0
8,410200
1,0
0,0
7,343999
7,343999
0,0
8,211000
0,0
8,410200
0,0
0,0
1,22200
0,0
0,0
0,0
3,59500
0,0
2,52000
0,0
1,0
4,180900
0,0
4,180900
1,4999
0,0
8,37248
1,4999
0,0
1,22200
0,0
9,179370
1,135168
0,0
1,22200
0,0
8,410200
0,0
2,22280
8,410200
0,0
1,100
5,85500
11,78600
0,0
9,179370
9,179370
2,62
0,0
0,0
0,0
6,45390
0,0
0,0
8,410200
4,60000
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,22200
0,0
1,4999
0,0
