farm_density,cumulated_max_capacity
5,178820
5,117500
5,117500
5,117500
5,117500
2,113290
5,117500
2,113290
2,113290
0,0
5,117500
0,0
2,113290
5,67000
5,67000
2,113290
0,0
5,67000
2,113290
0,0
4,180900
2,3349
0,0
0,0
5,67000
1,9000
6,45390
7,343999
0,0
0,0
4,167499
0,0
0,0
0,0
4,167499
2,3349
0,0
0,0
0,0
3,64000
3,64000
3,214000
0,0
2,3349
0,0
4,167499
4,167499
3,32000
2,234
0,0
0,0
0,0
2,20000
1,200
0,0
0,0
1,4999
0,0
1,4999
0,0
0,0
0,0
0,0
1,15000
0,0
0,0
1,500
0,0
0,0
2,52000
0,0
2,20000
0,0
0,0
1,0
0,0
3,64000
1,15000
0,0
0,0
0,0
1,500
0,0
2,234
0,0
1,17000
0,0
0,0
0,0
1,8500
0,0
1,15000
1,17000
0,0
0,0
0,0
0,0
1,500
1,500
3,64000
0,0
2,20000
0,0
0,0
1,20000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,15000
0,0
0,0
8,329538
1,20000
2,3349
1,22200
2,52000
0,0
0,0
7,545000
0,0
7,545000
0,0
2,52000
0,0
1,500
7,545000
1,17000
2,20000
1,500
1,500
0,0
0,0
0,0
2,113290
0,0
8,329538
7,343999
0,0
0,0
0,0
1,4999
1,0
2,750000
0,0
0,0
0,0
3,32000
3,64000
0,0
3,32000
0,0
3,214000
0,0
0,0
0,0
2,113290
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,27000
0,0
0,0
7,343999
1,0
3,50000
2,3349
0,0
3,27000
3,27000
0,0
2,39950
0,0
7,343999
0,0
0,0
2,113290
0,0
0,0
0,0
2,750000
0,0
0,0
2,750000
7,343999
2,750000
0,0
2,113290
0,0
0,0
0,0
