farm_density,cumulated_max_capacity
0,0
4,180900
4,180900
4,180900
5,178820
4,180900
4,180900
0,0
0,0
0,0
3,771000
2,55450
5,178820
0,0
0,0
2,55450
0,0
0,0
0,0
9,179370
5,117500
0,0
0,0
0,0
0,0
1,0
1,0
9,179370
9,179370
1,20000
5,117500
8,410200
2,55450
0,0
2,55450
0,0
1,20000
9,179370
1,20000
0,0
0,0
0,0
4,114980
1,20000
7,343999
0,0
1,0
0,0
0,0
4,114980
1,0
0,0
0,0
1,4999
3,32000
8,410200
11,78600
8,410200
0,0
3,771000
0,0
2,3349
3,771000
1,0
1,4999
4,114980
3,18300
0,0
1,0
5,117500
1,20000
0,0
0,0
1,4999
0,0
0,0
3,18300
0,0
0,0
4,106000
1,40000
1,40000
8,410200
0,0
2,3349
3,771000
3,18300
8,410200
0,0
4,114980
1,20000
1,42500
0,0
1,40000
2,3349
2,36500
11,78600
6,239240
1,4999
0,0
0,0
0,0
1,4999
0,0
0,0
0,0
0,0
8,410200
0,0
0,0
1,40000
8,37248
0,0
3,64000
5,126300
0,0
3,771000
3,771000
0,0
8,141500
8,410200
1,20000
0,0
2,36500
3,771000
8,822370
0,0
2,9000
8,410200
2,36500
1,135168
4,85500
0,0
5,126300
0,0
1,40000
8,410200
0,0
8,37248
0,0
1,27613
0,0
0,0
5,71500
0,0
0,0
0,0
0,0
1,30000
5,83164
0,0
2,3349
0,0
2,41963
0,0
1,0
4,106000
1,0
0,0
0,0
8,822370
0,0
0,0
3,64000
2,11000
0,0
1,0
0,0
2,3349
0,0
1,19500
2,52000
2,11000
1,4999
4,106000
0,0
1,20000
1,4999
1,9000
0,0
11,78600
1,9600
1,30000
4,167499
3,771000
3,771000
3,64000
1,30000
0,0
1,50000
0,0
2,11000
0,0
2,52000
0,0
11,78600
1,0
0,0
0,0
1,84500
