farm_density,cumulated_max_capacity
5,59000
5,117500
5,117500
5,117500
5,117500
12,207500
0,0
4,167499
1,20000
5,117500
5,117500
4,167499
1,17000
0,0
0,0
4,167499
1,17000
0,0
4,167499
4,167499
1,20000
0,0
0,0
2,17000
0,0
5,83164
0,0
4,180900
0,0
2,17000
0,0
2,36000
0,0
0,0
5,117500
0,0
4,14010
2,17000
0,0
0,0
5,59000
5,59000
2,17000
0,0
4,180900
0,0
2,36000
0,0
2,17000
0,0
0,0
0,0
4,85000
0,0
0,0
5,83164
0,0
0,0
0,0
0,0
0,0
5,117500
1,19500
0,0
0,0
0,0
12,207500
2,17000
0,0
0,0
0,0
0,0
4,14010
0,0
0,0
0,0
1,250
0,0
4,85000
0,0
0,0
1,35000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,9000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,17000
2,17000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,85000
1,19500
0,0
2,17000
0,0
2,17000
2,17000
1,19500
0,0
0,0
0,0
0,0
2,17000
1,60
0,0
2,17000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,42999
0,0
0,0
0,0
2,17000
1,100
0,0
1,200
1,100
1,100
0,0
3,200
0,0
0,0
0,0
1,100
6,104000
0,0
1,20000
0,0
0,0
9,179370
0,0
0,0
0,0
2,52000
0,0
0,0
1,200
1,100
1,0
0,0
2,17000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,87500
0,0
2,17000
0,0
0,0
2,36000
0,0
0,0
0,0
0,0
0,0
1,20000
0,0
0,0
0,0
1,100
0,0
0,0
0,0
0,0
1,70
0,0
0,0
0,0
0,0
