farm_density,cumulated_max_capacity
4,180900
5,117500
0,0
5,117500
0,0
0,0
2,22280
4,59499
2,22280
0,0
1,17000
2,22280
7,545000
1,84500
9,158500
8,410200
9,158500
9,158500
9,158500
9,158500
1,19500
9,158500
9,158500
9,158500
0,0
4,59499
4,59499
6,58100
6,58100
6,58100
3,15400
5,126300
0,0
4,114980
5,85500
1,135168
0,0
1,135168
0,0
1,135168
0,0
0,0
3,59500
0,0
4,36999
6,126500
5,118125
3,59500
5,47000
3,59500
19,354444
3,59500
5,118125
0,0
4,97000
19,354444
5,118125
5,119466
5,118125
5,118125
5,118125
19,354444
5,142500
0,0
0,0
5,47000
0,0
10,90600
0,0
2,17999
6,3620600
6,3620600
5,59000
5,117500
5,117500
5,117500
6,45390
5,117500
5,117500
5,117500
5,117500
2,13400
2,750000
3,13100
2,750000
2,13400
0,0
2,13400
0,0
0,0
4,96504
4,97000
4,96504
2,29000
9,179370
2,13400
1,4999
8,329538
6,104000
5,117500
4,57691
12,207500
12,207500
12,207500
12,207500
5,57848
6,45390
6,45390
6,45390
6,194874
6,104000
6,45390
6,194874
8,211000
6,194874
6,194874
2,113290
6,194874
6,194874
6,194874
6,104000
6,194874
6,194874
6,194874
6,194874
1,20000
9,165800
0,0
9,165800
2,68000
0,0
2,68000
2,13400
6,38500
2,13400
2,13400
4,36999
9,165800
1,19900
9,165800
2,13400
2,13400
1,108500
9,165800
9,165800
3,27000
3,27000
1,108500
0,0
6,38500
3,32000
11,4566800
3,32000
11,4566800
6,38500
0,0
4,180900
11,444721
6,189473
6,189473
0,0
1,4999
5,253200
11,444721
11,444721
11,444721
11,444721
6,189473
4,106000
11,444721
11,444721
11,444721
11,444721
13,328744
6,104000
13,328744
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
6,189473
6,189473
6,239240
5,59600
3,145124
0,0
11,444721
6,189473
6,189473
1,4999
11,444721
2,20000
1,22200
2,20000
6,189473
1,22730
