proximity,human_mvt,transports,satscan
0.00078,0.00602,0.00409,0.04882
0.00094,0.00777,0.00306,0.04308
0.001,0.0096,0.00088,0.06738
0.00022,0.00893,0.00021,0.02242
0.00042,0.00441,3e-05,0.03587
0.00064,0.0032,0.00401,0.02834
0.00123,0.00546,0.00377,0.06642
0.00112,0.00919,0.00719,0.05118
0.00075,0.00804,0.00514,0.02909
0.00047,0.00808,0.00062,0.03097
0.00081,0.0118,0.00322,0.04404
0.00032,0.00856,0.00167,0.01299
0.00094,0.00996,0.00672,0.03039
9e-04,0.01196,0.00283,0.04749
0.0012,0.01738,0.0049,0.06166
0.00045,0.00608,0.00324,0.01574
3e-04,0.01081,0.00932,0.02685
0.00048,0.00988,0.00991,0.01727
0.00045,0.00948,0.00829,0.01883
0.00114,0.00281,0.00805,0.04501
0.00061,0.00693,0.00401,0.02907
0.00088,0.00788,0.00087,0.05768
5e-04,0.01046,0.00564,0.03174
0.00066,0.01094,0.00641,0.03569
0.00104,0.00559,0.00714,0.03721
0.00039,0.00885,0.00327,0.01776
5e-04,0.00457,0.00216,0.03029
0.00065,0.00768,0.0035,0.04294
0.00118,0.00546,0.00556,0.04261
0.00141,0.00616,0.0051,0.05033
0.00123,0.00638,0.00591,0.06759
0.00108,0.01298,0.00679,0.05173
0.00088,0.00734,0.00104,0.04922
0.00018,0.01183,0.00363,0.02489
0.00066,0.00851,0.00361,0.02985
0.00086,0.01044,0.00185,0.057
0.00076,0.00861,0.0097,0.0227
0.00078,0.00502,0.00288,0.02911
5e-04,0.01195,0.009,0.03507
0.00065,0.01069,0.00419,0.02003
0.00127,0.01006,0.00388,0.05925
0.00059,0.00543,0.0051,0.03663
0.00094,0.01054,0.00394,0.03481
0.00075,0.00617,0.00076,0.04685
0.00092,0.01231,0.00217,0.03468
0.00093,0.00931,0.00558,0.03901
0.00092,0.00458,0.00354,0.04143
0.00089,0.00978,0.0036,0.04785
0.00086,0.0233,0.0047,0.05436
0.00115,0.00858,0.00361,0.05614
0.00081,0.01281,0.00622,0.04797
0.00039,0.00109,0.0032,0.01279
0.00067,0.00468,0.00118,0.04209
0.00055,0.00198,0.00277,0.02554
0.00063,0.00564,0.00902,0.032
0.0013,0.01773,0.00339,0.08908
0.00067,0.01686,0.00428,0.0439
0.00085,0.00632,0.00133,0.05323
0.00028,0.00474,7e-05,0.02195
0.00065,0.00577,0.00403,0.0456
0.00058,0.00447,0.00837,0.03184
0.00056,0.00277,0.00591,0.01985
0.00071,0.00395,0.00585,0.02735
