proximity,human_mvt,transports,satscan
-0.00077,0.0101,0.00702,0.01115
-9e-04,0.01022,0.00626,0.01052
-0.001,0.01263,0.0053,0.01284
-0.00022,0.00656,0.00215,0.00644
-0.00042,0.00581,0.00158,0.00576
-0.00061,0.00608,0.00496,0.00682
-0.0012,0.01119,0.00766,0.01245
-0.00106,0.01324,0.00973,0.01406
-0.00069,0.00936,0.00667,0.00943
-0.00047,0.00776,0.0032,0.00768
-0.00079,0.01244,0.00707,0.01251
-3e-04,0.00594,0.00331,0.00547
-0.00083,0.01092,0.00797,0.01073
-0.00088,0.01278,0.00697,0.01282
-0.00117,0.01799,0.01035,0.01798
-4e-04,0.00602,0.00417,0.00582
-0.00029,0.01148,0.009,0.01161
-0.00043,0.00959,0.00792,0.00894
-0.00042,0.00932,0.00742,0.0089
-0.00105,0.00806,0.00799,0.00987
-0.00058,0.00846,0.00583,0.0087
-0.00088,0.01071,0.00468,0.01092
-5e-04,0.01105,0.00761,0.01119
-0.00064,0.01205,0.00844,0.01223
-0.00094,0.0094,0.00781,0.01019
-0.00037,0.00749,0.00481,0.00714
-0.00049,0.00668,0.00425,0.00714
-0.00065,0.01032,0.00656,0.01096
-0.00107,0.0095,0.00738,0.01027
-0.00127,0.01063,0.00779,0.01136
-0.00121,0.01265,0.00943,0.01428
-0.00104,0.01528,0.01028,0.01561
-0.00087,0.00968,0.00451,0.00981
-0.00015,0.00994,0.00605,0.0099
-0.00063,0.00922,0.00591,0.00923
-0.00086,0.01264,0.00628,0.01297
-0.00066,0.00985,0.00823,0.00961
-0.00071,0.00705,0.00477,0.00729
-5e-04,0.01317,0.0099,0.01344
-0.00057,0.00889,0.00582,0.00824
-0.00121,0.01358,0.00824,0.01404
-0.00059,0.00875,0.00669,0.00969
-0.00086,0.01094,0.00682,0.01074
-0.00074,0.0086,0.00386,0.00879
-0.00084,0.01094,0.00566,0.01046
-0.00087,0.01142,0.00794,0.01167
-0.00087,0.00822,0.00588,0.00897
-0.00087,0.01205,0.0073,0.01243
-0.00085,0.01937,0.01051,0.01887
-0.0011,0.01229,0.00759,0.01286
-8e-04,0.01454,0.00962,0.01492
-0.00035,0.00273,0.00275,0.00323
-0.00066,0.00748,0.00398,0.00791
-0.00052,0.00457,0.00377,0.00529
-0.00061,0.00925,0.00818,0.01024
-0.0013,0.02074,0.01056,0.02129
-0.00067,0.01508,0.00862,0.01489
-0.00084,0.00964,0.00491,0.01007
-0.00028,0.00417,0.00036,0.0039
-0.00065,0.0096,0.00673,0.01067
-0.00057,0.0083,0.00758,0.00951
-0.00051,0.00529,0.00499,0.00594
-0.00065,0.00693,0.00597,0.00764
-9e-04,0.01325,0.00742,0.01372
-7e-04,0.01494,0.01161,0.01551
-0.00045,0.00562,0.00253,0.00548
-0.00055,0.00972,0.00725,0.01022
-0.00068,0.00934,0.0072,0.00929
-0.00055,0.00694,0.0045,0.00694
-0.00127,0.01538,0.01144,0.01652
-0.00037,0.00434,0.00137,0.00423
-0.00114,0.01056,0.00734,0.01123
-0.00106,0.01028,0.00704,0.01104
-0.00144,0.01767,0.01231,0.01971
-0.00053,0.00782,0.00567,0.00811
-0.00075,0.01022,0.0064,0.01105
-0.00079,0.01268,0.0086,0.01308
-0.00039,0.01124,0.00587,0.01065
-0.00084,0.0149,0.01133,0.01615
-0.00129,0.01822,0.01137,0.01879
-0.00085,0.0148,0.00948,0.01404
-0.00055,0.01485,0.01008,0.01349
-0.00029,0.01211,0.0078,0.01221
-0.00144,0.01471,0.01046,0.01659
-7e-04,0.01024,0.00751,0.01047
-0.00095,0.00893,0.00699,0.00971
-8e-04,0.01204,0.00718,0.01217
-0.00017,0.00235,-3e-04,0.00208
-0.00075,0.00796,0.00567,0.00864
-0.00094,0.00664,0.00591,0.00768
-0.00088,0.013,0.00779,0.01269
-0.00065,0.01233,0.00683,0.01214
-0.00015,0.00222,-0.00032,0.00197
-0.00067,0.00974,0.00434,0.00937
-0.00098,0.01215,0.00575,0.01224
-0.00085,0.0092,0.0055,0.0096
-6e-04,0.01519,0.00936,0.01438
-0.00102,0.01607,0.00961,0.01666
-0.0015,0.01437,0.01026,0.01581
-0.00056,0.00881,0.00424,0.00917
-0.00114,0.01384,0.00913,0.01439
-0.00023,0.00869,0.00558,0.00806
-0.00041,0.01093,0.0067,0.0106
-0.0014,0.01639,0.01103,0.01738
