proximity,human_mvt,transports,satscan
-0.00238,0.12698,0.10541,0.24489
-0.00669,0.13413,0.09649,0.23153
-0.00157,0.14911,0.07864,0.28323
0.0026,0.12446,0.04859,0.16987
0.00146,0.10106,0.04008,0.20403
-0.00598,0.09632,0.0947,0.18752
-0.00546,0.12901,0.10688,0.28083
-0.00728,0.14975,0.13008,0.25542
-0.00758,0.1319,0.10868,0.19627
-0.00122,0.12585,0.0618,0.19658
-0.00409,0.15569,0.10145,0.23781
-0.00459,0.12043,0.07058,0.13586
-0.01045,0.1445,0.12121,0.20278
-0.00468,0.15727,0.09902,0.24558
-0.00584,0.18808,0.12349,0.28219
-0.00662,0.10999,0.08609,0.14682
0.00186,0.14929,0.13532,0.19613
-0.00653,0.1395,0.13354,0.1619
-0.00524,0.1371,0.12534,0.1665
-0.00945,0.10427,0.12664,0.23426
-0.00493,0.12404,0.09917,0.19436
-0.00194,0.13634,0.07446,0.26192
-0.00171,0.14666,0.11512,0.2072
-0.00369,0.15163,0.12187,0.21889
-0.01,0.12243,0.12225,0.21772
-0.0041,0.12786,0.08986,0.15781
-0.00214,0.10606,0.08003,0.19348
-0.00151,0.13414,0.10029,0.23215
-0.01062,0.12232,0.11372,0.22995
-0.01169,0.12959,0.11356,0.24837
-0.00518,0.13794,0.12389,0.28614
-0.00648,0.16812,0.13063,0.25951
-0.00405,0.13046,0.07446,0.24297
0.00506,0.14756,0.09843,0.18651
-0.00568,0.13316,0.09754,0.19768
-0.00165,0.1519,0.09018,0.26451
-0.01009,0.13587,0.13392,0.17976
-0.00821,0.10989,0.08746,0.19077
-0.00062,0.15849,0.13745,0.22026
-0.00912,0.13995,0.10008,0.16813
-0.00749,0.15377,0.11011,0.27071
-0.00223,0.11906,0.10858,0.21521
-0.00906,0.14659,0.10374,0.21343
-0.00234,0.12153,0.06797,0.23587
-0.0087,0.15247,0.0885,0.21246
-0.00762,0.14397,0.11628,0.22512
-0.00683,0.11317,0.09708,0.2245
-0.00446,0.14776,0.10436,0.24552
-0.00207,0.20656,0.12334,0.27061
-0.00649,0.14444,0.10581,0.26267
-0.00306,0.16536,0.12587,0.25078
-0.00689,0.06179,0.07712,0.12658
-0.00211,0.11029,0.07182,0.22361
-0.00501,0.08091,0.08089,0.17558
-0.00439,0.12204,0.13116,0.20552
-0.0015,0.19614,0.11811,0.33222
-0.0015,0.17872,0.11358,0.24246
-0.00251,0.12633,0.07898,0.2516
0.00053,0.09436,0.02093,0.16078
-0.00088,0.12397,0.10373,0.23721
-0.00347,0.113,0.12629,0.20334
-0.0075,0.0898,0.10443,0.16058
-0.00755,0.10429,0.10871,0.18706
-0.0026,0.15455,0.10192,0.26524
-0.00262,0.16513,0.1502,0.24169
-0.00449,0.10642,0.05617,0.16563
-0.00292,0.13142,0.11494,0.20567
-0.00914,0.13198,0.11834,0.18681
-0.00673,0.11453,0.08528,0.17371
-0.00761,0.15977,0.14094,0.2806
-0.00167,0.0898,0.03807,0.16553
-0.00936,0.13046,0.10816,0.24696
-0.00764,0.12811,0.10485,0.24782
-0.00308,0.16567,0.13857,0.33379
-0.00466,0.11842,0.10011,0.18536
-0.00163,0.12975,0.09704,0.24663
-0.00434,0.15257,0.11981,0.23742
-0.00074,0.1654,0.09149,0.19271
-0.00205,0.15905,0.14323,0.26612
-0.0058,0.18177,0.13205,0.29813
-0.0083,0.17884,0.12588,0.22381
-0.00502,0.18721,0.13554,0.19965
0.00355,0.15834,0.11387,0.21122
-0.00478,0.14802,0.12707,0.3179
-0.00641,0.13678,0.11656,0.20646
-0.00931,0.11863,0.11119,0.2222
-0.00475,0.1516,0.1039,0.23433
0.00123,0.07062,0.00533,0.13084
-0.00569,0.11291,0.09599,0.21435
-0.01044,0.09664,0.10458,0.21003
-0.00763,0.16287,0.1097,0.22799
-0.00298,0.16087,0.09963,0.22346
0.00134,0.06984,0.00432,0.1249
-0.00523,0.14531,0.07393,0.206
-0.00423,0.14949,0.085,0.26043
-0.00562,0.12472,0.08886,0.23059
-0.00321,0.18615,0.1236,0.22021
-0.00291,0.17127,0.11938,0.28269
-0.008,0.14861,0.12747,0.30167
5e-04,0.12489,0.07303,0.22913
-0.0074,0.15557,0.1204,0.26398
-0.00019,0.14426,0.09791,0.15624
-0.00108,0.15464,0.10388,0.19437
-0.00738,0.16607,0.13221,0.29729
-0.0074,0.12182,0.09163,0.239
-0.00189,0.18235,0.12638,0.26489
-0.00591,0.14845,0.0729,0.18497
-0.00573,0.10925,0.0848,0.21329
-0.00273,0.14494,0.09963,0.2834
0.00121,0.08563,0.01918,0.1482
-0.00871,0.1211,0.14402,0.21694
-0.00191,0.12843,0.05917,0.22071
-0.00323,0.14308,0.11102,0.29977
-0.00238,0.12216,0.07362,0.27518
-0.00577,0.12357,0.08687,0.21467
-0.00546,0.14205,0.13699,0.25623
-0.00842,0.09983,0.11831,0.23412
-0.00454,0.17292,0.09475,0.28098
-0.00118,0.12912,0.06572,0.14377
-0.00145,0.15353,0.09279,0.29186
-0.00113,0.15726,0.08047,0.31592
-0.00154,0.13581,0.09743,0.18908
-0.00236,0.11484,0.11894,0.23292
-0.00701,0.16768,0.10351,0.25318
-0.00243,0.14063,0.09132,0.19173
-0.01059,0.13053,0.11604,0.2086
-0.00874,0.17113,0.14319,0.26733
-0.01068,0.12341,0.1297,0.22653
-0.00678,0.17637,0.13893,0.28825
-0.00123,0.10271,0.04068,0.18117
-0.00347,0.0964,0.09682,0.18739
-0.00711,0.08823,0.10008,0.2011
-0.00283,0.12241,0.09414,0.25023
-0.00823,0.13625,0.10396,0.22594
-0.00715,0.11367,0.12716,0.16662
-0.00184,0.10673,0.05124,0.22455
-0.0087,0.12255,0.09493,0.24555
-0.00394,0.16391,0.09432,0.2457
-0.00416,0.159,0.11857,0.29113
-0.00234,0.11531,0.09001,0.25896
-0.00734,0.13551,0.1115,0.24351
0.00644,0.10724,0.0776,0.09206
-0.00459,0.131,0.07431,0.22497
-0.00434,0.15213,0.07511,0.17526
-0.00441,0.15403,0.11278,0.28504
-0.00708,0.16062,0.06631,0.15774
-0.00451,0.18978,0.14857,0.26869
-0.00774,0.13283,0.114,0.2579
-0.00371,0.11359,0.08967,0.22846
-0.00272,0.13071,0.1051,0.24419
-0.00566,0.11868,0.05093,0.21694
