trait	collection_date	latitude	longitude
0-1-PTL	2019-01-18	51.0375	3.45796
1-1-iPTL	2019-04-06	51.0375	3.45796
2-1-PTL-2	2019-04-17	51.03646	3.42889
3-1-PTS	2019-04-26	51.01124	3.41954
4-1-PTL-2	2019-04-30	50.85959	3.19225
5-1-PCS	2019-04-18	51.08286	3.28193
8-1-PCS	2019-04-22	50.98399	3.17961
8-3-PCS	2019-05-07	50.98399	3.17961
9-2-BOW	2019-04-26	51.05886	3.38398
11-1-PLT	2019-04-30	51.06306	3.25318
11-1-POO	2019-05-13	51.06306	3.25318
11-4-POO	2019-05-13	51.06306	3.25318
13-5-BOW	2019-05-02	51.08262	3.26749
14-1-PTL	2019-05-02	50.9913	3.29527
14-3-PTS-1	2019-05-03	50.9913	3.29527
14-3-PTS-2	2019-05-03	50.9913	3.29527
16-1-BOW	2019-05-03	51.00435	3.31046
16-1-POO	2019-05-10	51.00435	3.31046
17-1-POO	2019-05-09	51.00574	3.31432
19-1-PCS	2019-05-02	50.88092	2.9751
19-2-PCS	2019-05-09	50.88092	2.9751
20-1-PCS	2019-05-03	51.01145	2.92072
21-1-POO	2019-05-14	50.88735	2.93082
21-2-POO	2019-05-14	50.88735	2.93082
21-3-PTL	2019-05-03	50.88735	2.93082
22-4-PTS	2019-06-07	50.83516	3.05157
22-6-PCS	2019-05-03	50.83516	3.05157
23-1-PCS	2019-05-04	51.02584	3.15853
23-2-PCS	2019-05-10	51.02584	3.15853
24-1-PCS	2019-05-04	50.95078	3.41114
24-2-POO	2019-05-20	50.95078	3.41114
24-3-POO	2019-05-20	50.95078	3.41114
24-4-POO	2019-05-20	50.95078	3.41114
26-1-POO	2019-05-06	51.08539	3.26145
27-2-POO	2019-05-10	51.06404	3.2464
27-8-PTLB	2019-05-06	51.06404	3.2464
28-2-PCS	2019-05-05	51.09569	3.34074
29-2-PTS	2019-05-05	50.88192	3.21546
30-1-PCS	2019-05-06	50.90782	3.02662
30-2-PCS	2019-5-22	50.90782	3.02662
31-2-POO	2019-05-17	51.23054	3.18577
31-3-POO	2019-05-17	51.23054	3.18577
31-E-POO	2019-05-08	51.23054	3.18577
32-1-PCS	2019-05-09	50.994	3.389
33-1-PCS	2019-05-13	50.81866	3.19587
33-4-PTS	2019-05-10	50.81866	3.19587
34-2-PCS	2019-05-10	51.08013	3.39863
35-4-PCS	2019-5-16	51.0422	3.16067
36-1-POO	2019-05-13	50.88389	2.93007
36-2-POO	2019-05-13	50.88389	2.93007
37-A-POO	2019-05-14	51.06642	3.25561
37-B-POO	2019-05-14	51.06642	3.25561
38-1-POO	2019-05-15	50.76822	3.22958
39-1-PCS	2019-05-20	51.08044	3.39949
39-2-PCS	2019-05-14	51.08044	3.39949
40-1-PCS	2019-05-16	51.04847	3.39134
42-3-POO	2019-05-17	51.11695	3.35132
44-1-PTL	2019-06-05	50.99472	3.40805
45-1-POO	2019-05-17	50.9102	3.04088
45-2-POO	2019-05-24	50.9102	3.04088
45-3-POO	2019-05-17	50.9102	3.04088
47-1-POO	2019-05-27	50.82873	3.09635
48-1-POO	2019-05-22	51.0594	3.39916
49-4-PTS	2019-05-21	50.84048	3.36174
50-1-PCS	2019-05-21	51.08035	3.40098
50-2-PCS	2019-05-21	51.08035	3.40098
51-2-POO	2019-05-26	50.88939	2.98042
52-2-POO	2019-05-24	51.00549	3.13798
54-1-POO	2019-05-26	51.13425	3.256887
56-1-POO	2019-05-27	51.031728	3.314558
56-7-POO	2019-06-03	51.031728	3.314558
56-8-POO	2019-06-03	51.031728	3.314558
57-11-PCS	2019-06-06	50.821932	3.019036
58-1-PCS	2019-05-29	51.048805	3.306391
60-1-POO	2019-06-04	50.912352	2.926654
62-1-POO	2019-06-03	50.835691	3.379438
63-1-POO	2019-06-03	50.938205	3.598066
64-1-PCS	2019-06-03	51.088897	3.357275
65-2-PCS	2019-06-01	50.891737	3.103767
66-1-PCS	2019-06-04	51.069653	3.183129
66-2-PCS	2019-06-13	51.069653	3.183129
67-4-PTS	2019-06-04	50.995584	3.258644
68-1-PCS	2019-06-04	49.89161	5.389958
69-2-POO	2019-06-06	51.048476	3.324427
70-1-PTS	2019-06-06	51.031011	3.329032
71-6-PCS	2019-06-07	50.882906	3.13417
71-7-PCS	2019-06-12	50.882906	3.13417
73-1-PTS	2019-06-12	51.046152	3.364532
73-2-PCS	2019-06-13	51.046152	3.364532
78-1-PCS	2019-06-28	50.790231	3.147172
80-3-PCS	2019-07-11	51.081743	3.194065
2-1-iPTL	2019-04-17	51.03646	3.42889
4-1-iPTL	2019-04-17	50.85959	3.19225
6-1-iPTL	2019-04-23	51.01925	3.40727
7-1-iBOW	2019-04-21	50.92488	3.31182
12-1-iBOW	2019-04-30	51.06714	3.254
13-4-iBOW	2019-05-02	51.08262	3.26749
14-1-iBOW	2019-05-02	50.9913	3.29527
15-1-iBRA	2019-05-03	50.823601	3.08838
57-14-iPCS	2019-05-29	50.821932	3.019036
72-1-iPOO	2019-06-12	50.913499	3.058244
75-1-iPCS	2019-06-22	50.955234	3.358841
77-1-iPOO	2019-06-24	51.051086	3.39096
81-1-iPOO	2019-07-09	50.835691	3.379438
