ID_herd;ID_farm;H3N1;Longitude;Latitude;Species;SubspeciesList;Outdoor;ProductionList;Capacity;Date_capacity
BE40024326-0301;BE40024326;1;3.45796;51.03751;Pluimvee;CHCK;Yes;CELAY;12000;1/04/2019
BE40024326-0302;BE40024326;1;3.45796;51.03751;Pluimvee;CHCK;Yes;CELAY;48000;1/04/2019
BE40024326-0303;BE40024326;1;3.45796;51.03751;Pluimvee;CHCK;Yes;CELAY;36000;1/04/2019
BE40137279-0301;BE40137279;2;3.42889;51.03646;Pluimvee;CHCK;No;HERM;20000;1/04/2019
BE30891374-0301;BE30891374;3;3.41954;51.01124;Pluimvee;CHCK;No;HERM;NA;1/04/2019
BE30630171-0301;BE30630171;4;3.19225;50.85959;Pluimvee;CHCK;No;HERM;11140;1/04/2019
BE30630171-0302;BE30630171;4;3.19225;50.85959;Pluimvee;CHCK;No;HERM;11140;1/04/2019
BE30052127-0301;BE30052127;5;3.28193;51.08285;Pluimvee;CHCK;Yes;CELAY;53200;1/04/2019
BE31031549-0301;BE31031549;6;3.40727;51.01925;Pluimvee;CHCK;Yes;CELAY;10500;1/04/2019
BE31031549-0302;BE31031549;6;3.40727;51.01925;Pluimvee;CHCK;Yes;CELAY;18500;1/04/2019
BE30861920-0301;BE30861920;7;3.31182;50.92488;Pluimvee;CHCK;No;BRM;20000;1/04/2019
BE30851704-0301;BE30851704;8;3.17961;50.98399;Pluimvee;CHCK;No;CELAY;25920;1/04/2019
BE30851704-0302;BE30851704;8;3.17961;50.98399;Pluimvee;CHCK;No;CELAY;29376;1/04/2019
BE30851704-0303;BE30851704;8;3.17961;50.98399;Pluimvee;CHCK;No;CELAY;65704;1/04/2019
BE30082409-0301;BE30082409;9;3.38418;51.05934;Pluimvee;CHCK;No;HERM;18950;1/04/2019
BE30082409-0302;BE30082409;9;3.38418;51.05934;Pluimvee;CHCK;No;HERM;6730;1/04/2019
BE30082409-0303;BE30082409;9;3.38418;51.05934;Pluimvee;CHCK;No;HERM;8260;1/04/2019
BE31031530-0301;BE31031530;10;3.405598;51.020243;Pluimvee;CHCK;No;CELAY;22000;17/04/2019
BE31031530-0302;BE31031530;10;3.405598;51.020243;Pluimvee;CHCK;No;CELAY;22000;17/04/2019
BE30053281-0301;BE30053281;11;3.25318;51.06305;Pluimvee;CHCK;No;CELAY;14257;1/04/2019
BE30053281-0302;BE30053281;11;3.25318;51.06305;Pluimvee;CHCK;No;CELAY;15746;1/04/2019
BE30053281-0303;BE30053281;11;3.25318;51.06305;Pluimvee;CHCK;No;CELAY;32348;1/04/2019
BE30053281-0304;BE30053281;11;3.25318;51.06305;Pluimvee;CHCK;No;CELAY;40520;1/04/2019
BE30053281-0305;BE30053281;11;3.25318;51.06305;Pluimvee;CHCK;No;CELAY;44350;1/04/2019
BE31143541-0301;BE31143541;12;3.25395;51.0671;Pluimvee;CHCK;No;BRM;19800;1/04/2019
BE30052461-0301;BE30052461;13;3.26749;51.08261;Pluimvee;CHCK;No;CELAY;21816;1/04/2019
BE30052461-0302;BE30052461;13;3.26749;51.08261;Pluimvee;CHCK;No;CELAY;22556;1/04/2019
BE30052461-0303;BE30052461;13;3.26749;51.08261;Pluimvee;CHCK;No;CELAY;22556;1/04/2019
BE30052461-0304;BE30052461;13;3.26749;51.08261;Pluimvee;CHCK;No;CELAY;22354;1/04/2019
BE30052461-0305;BE30052461;13;3.26749;51.08261;Pluimvee;CHCK;No;CELAY;22418;1/04/2019
BE31142200-0301;BE31142200;14;3.29527;50.9913;Pluimvee;CHCK;No;CELAY;15272;1/04/2019
BE31142200-0302;BE31142200;14;3.29527;50.9913;Pluimvee;CHCK;No;CELAY;14012;1/04/2019
BE31142200-0303;BE31142200;14;3.29527;50.9913;Pluimvee;CHCK;No;CELAY;17286;1/04/2019
BE31140844-0301;BE31140844;15;3.08838;50.8236;Pluimvee;CHCK;No;HERM;8200;1/04/2019
BE31140844-0302;BE31140844;15;3.08838;50.8236;Pluimvee;CHCK;No;HERM;8200;1/04/2019
BE31140844-0303;BE31140844;15;3.08838;50.8236;Pluimvee;CHCK;No;HERM;8400;1/04/2019
BE31140844-0304;BE31140844;15;3.08838;50.8236;Pluimvee;CHCK;No;HERM;11100;1/04/2019
BE31140844-0305;BE31140844;15;3.08838;50.8236;Pluimvee;CHCK;No;HERM;11100;1/04/2019
BE31140844-0306;BE31140844;15;3.08838;50.8236;Pluimvee;CHCK;No;HERM;11100;1/04/2019
BE30881549-0301;BE30881549;16;3.31046;51.00435;Pluimvee;TRK;#N/A;MEATP;12000;1/04/2019
BE30881417-0301;BE30881417;17;3.30723;51.00519;Pluimvee;TRK;#N/A;MEATP;1400;1/04/2019
BE31204354-0301;BE31204354;19;2.9751;50.88091;Pluimvee;CHCK;No;HERM;11500;1/04/2019
BE31204354-0302;BE31204354;19;2.9751;50.88091;Pluimvee;CHCK;No;HERM;11500;1/04/2019
BE30160094-0301;BE30160094;20;2.92072;51.01145;Pluimvee;CHCK;No;HERM;9300;1/04/2019
BE31141670-0301;BE31141670;21;2.93267;50.88685;Pluimvee;CHCK;No;HERM;5000;1/04/2019
BE31141670-0302;BE31141670;21;2.93267;50.88685;Pluimvee;CHCK;No;HERM;7500;1/04/2019
BE31141670-0303;BE31141670;21;2.93267;50.88685;Pluimvee;CHCK;No;HERM;7500;1/04/2019
BE30660828-0301;BE30660828;22;3.05194;50.83531;Pluimvee;TRK;No;MEATP;34000;1/04/2019
BE30660828-0302;BE30660828;22;3.05194;50.83531;Pluimvee;TRK;No;MEATP;34000;1/04/2019
BE30071547-0301;BE30071547;23;3.15853;51.02583;Pluimvee;CHCK;No;HERM;10250;1/04/2019
BE30071547-0302;BE30071547;23;3.15853;51.02583;Pluimvee;CHCK;No;HERM;9750;1/04/2019
BE31142782-0301;BE31142782;24;3.409877429;50.95200257;Pluimvee;CHCK;No;CELAY;135168;1/04/2019
BE31143010-0301;BE31143010;25;3.06348;50.81854;Pluimvee;CHCK;No;CELAY;67318;1/04/2019
BE31143010-0351;BE31143010;25;3.06348;50.81854;Pluimvee;CHCK;No;CELAY;691200;1/04/2019
BE30053301-0301;BE30053301;26;3.26124;51.0853;Pluimvee;CHCK;No;CELAY;77773;1/04/2019
BE31143517-0301;BE31143517;27;3.24784;51.05975;Pluimvee;CHCK;No;CELAY;NA;1/04/2019
BE40000788-0301;BE40000788;28;3.34157;51.09486;Pluimvee;CHCK;No;CELAY;108500;1/04/2019
BE30760229-0301;BE30760229;29;3.21546;50.88192;Pluimvee;TRK;No;MEATP;19500;1/04/2019
BE31143460-0301;BE31143460;30;3.02662;50.90782;Pluimvee;CHCK;No;CELAY;19488;1/04/2019
BE31143460-0302;BE31143460;30;3.02662;50.90782;Pluimvee;CHCK;No;CELAY;25056;1/04/2019
BE31099488-0301;BE31099488;31;3.18577;51.23054;Pluimvee;CHCK;No;HERM;6750;1/04/2019
BE31099488-0302;BE31099488;31;3.18577;51.23054;Pluimvee;CHCK;No;HERM;6750;1/04/2019
BE31099488-0303;BE31099488;31;3.18577;51.23054;Pluimvee;CHCK;No;HERM;6000;1/04/2019
BE31099488-0304;BE31099488;31;3.18577;51.23054;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE31099488-0305;BE31099488;31;3.18577;51.23054;Pluimvee;CHCK;No;HERM;5000;1/04/2019
BE31099488-0306;BE31099488;31;3.18577;51.23054;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE30890858-0301;BE30890858;32;3.389;50.994;Pluimvee;CHCK;Yes;CELAY;4999;1/04/2019
BE31142324-0301;BE31142324;33;3.19587;50.81866;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE31142324-0302;BE31142324;33;3.19587;50.81866;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE31142324-0303;BE31142324;33;3.19587;50.81866;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE31142324-0304;BE31142324;33;3.19587;50.81866;Pluimvee;CHCK;No;HERL;7000;1/04/2019
BE31142324-0305;BE31142324;33;3.19587;50.81866;Pluimvee;CHCK;No;HERM;7000;1/04/2019
BE31142324-0351;BE31142324;33;3.19587;50.81866;Pluimvee;CHCK;No;HERM;3585600;1/04/2019
BE40329259-0301;BE40329259;34;3.39863;51.08014;Pluimvee;CHCK;No;CELAY;58900;1/04/2019
BE31143657-0301;BE31143657;35;3.16067;51.04219;Pluimvee;CHCK;No;CELAY;35200;1/04/2019
BE31143657-0302;BE31143657;35;3.16067;51.04219;Pluimvee;CHCK;No;CELAY;35200;1/04/2019
BE31143657-0303;BE31143657;35;3.16067;51.04219;Pluimvee;CHCK;No;CELAY;29700;1/04/2019
BE31143657-0304;BE31143657;35;3.16067;51.04219;Pluimvee;CHCK;No;CELAY;46380;1/04/2019
BE31143657-0305;BE31143657;35;3.16067;51.04219;Pluimvee;CHCK;No;CELAY;46380;1/04/2019
BE31143657-0306;BE31143657;35;3.16067;51.04219;Pluimvee;CHCK;No;CELAY;46380;1/04/2019
BE30922695-0301;BE30922695;36;2.93007;50.88389;Pluimvee;CHCK;No;HERM;10000;1/04/2019
BE30922695-0302;BE30922695;36;2.93007;50.88389;Pluimvee;CHCK;No;HERM;10000;1/04/2019
BE30052119-0301;BE30052119;37;3.25533;51.06638;Pluimvee;CHCK;Yes;CELAY;27700;1/04/2019
BE31098597-0301;BE31098597;38;3.22958;50.76822;Pluimvee;TRK;No;MEATP;6500;1/04/2019
BE31098597-0302;BE31098597;38;3.22958;50.76822;Pluimvee;TRK;No;MEATP;4400;1/04/2019
BE31098597-0303;BE31098597;38;3.22958;50.76822;Pluimvee;TRK;No;MEATP;2200;1/04/2019
BE40235467-0301;BE40235467;39;3.39949;51.08044;Pluimvee;CHCK;No;CELAY;29100;1/04/2019
BE40235467-0302;BE40235467;39;3.39949;51.08044;Pluimvee;CHCK;No;CELAY;29938;1/04/2019
BE30082093-0301;BE30082093;40;3.39167;51.04855;Pluimvee;CHCK;No;CELAY;15000;1/04/2019
BE10172819-0301;BE10172819;41;4.66927;51.32293;Pluimvee;CHCK;No;MEATP;42500;1/04/2019
BE10172819-0302;BE10172819;41;4.66927;51.32293;Pluimvee;CHCK;No;MEATP;42500;1/04/2019
BE10172819-0303;BE10172819;41;4.66927;51.32293;Pluimvee;CHCK;No;MEATP;50000;1/04/2019
BE10172819-0304;BE10172819;41;4.66927;51.32293;Pluimvee;CHCK;No;MEATP;50000;1/04/2019
BE30030433-0301;BE30030433;42;3.35132;51.11695;Pluimvee;CHCK;No;HERM;7500;1/04/2019
BE30030433-0302;BE30030433;42;3.35132;51.11695;Pluimvee;CHCK;No;HERM;7500;1/04/2019
BE30030433-0303;BE30030433;42;3.35132;51.11695;Pluimvee;CHCK;No;HERM;17000;1/04/2019
BE65049846-0301;BE65049846;43;6.16501;50.25461;Pluimvee;CHCK;Yes;BL;8600;1/04/2019
BE30890726-0401;BE30890726;44;3.40805;50.99472;Loopvogel;OSTR;No;MEATP;2349;1/04/2019
BE30890726-0451;BE30890726;44;3.40805;50.99472;Loopvogel;OSTR;No;MEATP;999;1/04/2019
BE30691286-0301;BE30691286;45;3.04088;50.91019;Pluimvee;CHCK;No;HERM;9000;1/04/2019
BE30691286-0302;BE30691286;45;3.04088;50.91019;Pluimvee;CHCK;No;HERM;9000;1/04/2019
BE30691286-0303;BE30691286;45;3.04088;50.91019;Pluimvee;CHCK;No;HERM;9000;1/04/2019
BE30691286-0304;BE30691286;45;3.04088;50.91019;Pluimvee;CHCK;No;HERM;9000;1/04/2019
BE30872256-0301;BE30872256;46;3.28378;51.01094;Pluimvee;CHCK;No;MEATP;7000;1/04/2019
BE31137789-0301;BE31137789;47;3.09635;50.82873;Pluimvee;CHCK;No;HERM;7700;1/04/2019
BE31137789-0302;BE31137789;47;3.09635;50.82873;Pluimvee;CHCK;No;HERM;7700;1/04/2019
BE31026073-0301;BE31026073;48;3.39916;51.0594;Pluimvee;CHCK;No;CELAY;20000;1/04/2019
BE31026073-0302;BE31026073;48;3.39916;51.0594;Pluimvee;CHCK;No;CELAY;23374;1/04/2019
BE30741445-0301;BE30741445;49;3.36178;50.84057;Pluimvee;TRK;No;MEATP;16000;1/04/2019
BE30741445-0302;BE30741445;49;3.36178;50.84057;Pluimvee;TRK;No;MEATP;16500;1/04/2019
BE30741445-0303;BE30741445;49;3.36178;50.84057;Pluimvee;TRK;No;MEATP;11000;1/04/2019
BE40001024-0301;BE40001024;50;3.40268;51.0806;Pluimvee;CHCK;No;CELAY;29450;1/04/2019
BE40001024-0302;BE40001024;50;3.40268;51.0806;Pluimvee;CHCK;No;CELAY;29450;1/04/2019
BE31027592-0301;BE31027592;51;2.97971;50.88928;Pluimvee;CHCK;No;MEATP;37000;1/04/2019
BE31027592-0302;BE31027592;51;2.97971;50.88928;Pluimvee;CHCK;No;MEATP;37000;1/04/2019
BE31021896-0301;BE31021896;52;3.13798;51.00549;Pluimvee;TRK;No;MEATP;10000;1/04/2019
BE31021896-0302;BE31021896;52;3.13798;51.00549;Pluimvee;TRK;No;MEATP;10000;1/04/2019
BE31021896-0303;BE31021896;52;3.13798;51.00549;Pluimvee;TRK;No;MEATP;10000;1/04/2019
BE31021896-0304;BE31021896;52;3.13798;51.00549;Pluimvee;TRK;No;MEATP;10000;1/04/2019
BE31010460-0301;BE31010460;53;3.04533;50.91305;Pluimvee;CHCK;No;HERM;12000;1/04/2019
BE31010460-0302;BE31010460;53;3.04533;50.91305;Pluimvee;CHCK;No;HERM;12000;1/04/2019
BE31010460-0303;BE31010460;53;3.04533;50.91305;Pluimvee;CHCK;No;HERM;12000;1/04/2019
BE31007761-0301;BE31007761;54;3.2616;51.12765;Pluimvee;CHCK;No;CELAY;29800;1/04/2019
BE30082379-0301;BE30082379;55;3.40237;51.05377;Pluimvee;CHCK;No;BRM;6200;1/04/2019
