proximity,families,feed,hatcheries,rendac,veterinaries
0.46999,0.05108,0.01901,0.04902,0.08827,0.09856
0.31444,0.05346,0.07496,0.11009,0.13973,0.14607
0.42984,0.0642,0.00724,0.06222,0.02674,0.07639
0.27294,0.04284,0.00292,0.02421,0.00911,0.06204
0.24448,0.01076,-0.00492,0.00778,0.01374,0.05224
0.32373,0.00738,-0.00206,0.05526,0.0984,0.08599
0.33168,0.03401,0.01562,0.05094,0.11029,0.13722
0.25558,0.01877,0.01121,0.03902,0.13463,0.11064
0.39502,0.06099,0.02394,0.07757,0.10639,0.1377
0.29315,0.02374,0.00842,0.02522,0.03519,0.08214
0.40354,0.08784,0.02188,0.10796,0.07175,0.10038
0.29696,0.10511,-0.00066,0.07532,0.10355,0.15389
0.34346,0.01389,0.01944,0.06687,0.1477,0.14998
0.48437,0.09302,0.02061,0.10471,0.05713,0.10752
0.41133,0.08728,0.02621,0.09835,0.13023,0.1587
0.33333,0.00817,0.02087,0.05595,0.08767,0.11892
0.41811,0.04687,0.09471,0.09029,0.1281,0.11122
0.34184,0.13504,0.10326,0.15548,0.13192,0.10721
0.35449,0.069,0.07004,0.10127,0.11156,0.11828
0.29271,0.04691,0.03926,0.10304,0.14995,0.11361
0.37689,0.11936,0.02436,0.09256,0.0539,0.06661
0.28291,0.01746,0.01363,0.03721,0.05602,0.09931
0.40613,0.11873,0.03848,0.13103,0.08243,0.10084
0.34203,0.04843,0.02003,0.08204,0.11901,0.11569
0.33803,0.02786,0.0081,0.04741,0.10512,0.11768
0.37627,0.03787,-0.01483,0.0245,0.06056,0.10403
0.4307,0.15775,0.07248,0.12458,0.07827,0.1106
0.34484,-0.01177,0.00755,0.02017,0.0861,0.11969
0.36527,0.00599,0.00526,0.06525,0.13696,0.13754
0.35797,0.00653,0.02078,0.08956,0.12063,0.13495
0.36591,0.0324,0.03565,0.05037,0.11977,0.12397
0.39104,0.10796,0.04311,0.08332,0.09627,0.12891
0.37882,0.04646,0.02898,0.05491,0.05562,0.11547
0.45338,0.10941,0.0656,0.10808,0.03939,0.0817
0.37442,0.13593,0.05535,0.11622,0.07257,0.08184
0.44594,0.08877,0.04425,0.08923,0.06447,0.10344
0.34486,0.07854,0.0067,0.0868,0.11601,0.10605
0.32268,0.02761,0.03006,0.07376,0.13301,0.14992
0.40976,0.03589,0.05992,0.07302,0.12284,0.13589
0.34174,0.07973,0.01236,0.10684,0.10884,0.11807
0.41858,0.09575,0.01845,0.07593,0.08431,0.15677
0.447,0.11183,0.00339,0.06167,0.04438,0.05874
0.36161,0.12234,0.0328,0.1079,0.09927,0.14634
0.28853,0.01647,0.00172,0.02204,0.04577,0.09231
0.32549,0.11062,0.02991,0.09402,0.09461,0.15841
0.34034,0.07404,0.02838,0.09522,0.11327,0.15574
0.43422,0.12968,0.02588,0.09083,0.05663,0.09147
0.37043,0.12836,0.04564,0.0923,0.08857,0.10156
0.39556,0.11325,0.05363,0.11245,0.12443,0.17856
0.39222,0.05602,0.09385,0.10171,0.15752,0.15135
0.33303,0.02654,0.02154,0.06285,0.12171,0.13521
0.29569,0.07605,-0.01519,0.0506,0.0454,0.0632
0.32841,0.03408,-0.00172,0.02334,0.03842,0.08943
0.33628,0.09248,0.01206,0.07034,0.01498,0.07556
0.30216,0.06868,0.00255,0.08129,0.12522,0.11222
0.42598,0.10013,0.05436,0.09095,0.12031,0.16151
0.40533,0.16422,0.04116,0.10889,0.05227,0.0868
0.26387,0.01143,-0.00084,0.01759,0.04284,0.08058
0.19301,0.00393,-0.00539,0.00087,0.00984,0.06602
0.3692,0.05489,0.0229,0.08342,0.10921,0.14714
0.36216,0.03532,0.03738,0.04643,0.12295,0.10556
0.32294,0.09529,0.04868,0.09888,0.08354,0.06997
0.36065,0.06998,0.05431,0.10028,0.10506,0.11469
0.38933,0.0544,0.05613,0.05361,0.07398,0.1093
0.37334,0.09424,0.06778,0.1283,0.11725,0.13914
0.27959,0.04644,-0.0118,0.03686,0.01295,0.07578
0.40976,0.09846,0.063,0.10688,0.08448,0.10949
0.29475,0.02537,-0.00363,0.0473,0.09735,0.10119
0.34739,0.03126,-0.00161,0.04641,0.06598,0.11979
0.43608,0.06852,0.04353,0.09559,0.1445,0.13536
0.21261,0.0107,0.00724,0.01776,0.02338,0.0663
0.30522,0.0419,0.02894,0.08685,0.09487,0.10531
0.36057,0.01364,-0.0048,0.04692,0.09139,0.12973
0.42887,0.0372,0.03875,0.06464,0.11922,0.13481
0.39066,0.01556,0.04032,0.06638,0.1142,0.11072
0.4675,0.0874,0.05774,0.09308,0.06639,0.12344
0.38081,0.05323,0.03636,0.10594,0.10181,0.1363
0.42937,0.09423,0.05011,0.09184,0.07473,0.13246
0.31927,0.01332,0.05472,0.08186,0.18533,0.15471
0.42537,0.07064,0.04855,0.0795,0.12462,0.15197
0.42456,0.1018,0.03614,0.13195,0.09572,0.14648
0.34009,0.1534,0.04636,0.11692,0.08398,0.09778
0.35462,0.03657,0.01258,0.07328,0.12278,0.14096
0.42319,0.02893,0.05358,0.08445,0.14056,0.13685
0.34743,0.07856,0.04605,0.09163,0.10131,0.11978
0.39659,0.03114,0.03401,0.0602,0.12401,0.125
0.38745,0.0486,0.02278,0.08852,0.09639,0.14344
0.17946,0.0042,-0.00333,3e-05,-0.00172,0.0497
0.32107,0.02849,0.11398,0.12392,0.10643,0.11941
0.34092,0.04793,-0.00185,0.07728,0.11723,0.13081
0.35922,0.05869,0.02913,0.08682,0.14301,0.16028
0.41924,0.07029,0.02048,0.07597,0.06468,0.12237
0.1746,0.00509,-0.00391,-0.0013,-0.00412,0.04716
0.40997,0.07129,0.02928,0.078,0.05605,0.13648
0.42606,0.03931,0.0245,0.06263,0.0825,0.16972
0.38421,0.07438,0.02875,0.08539,0.06109,0.10791
0.39402,0.13269,0.06157,0.11639,0.07682,0.13109
0.45027,0.07938,0.04094,0.07942,0.09208,0.13966
0.33778,0.03534,0.05407,0.06701,0.18193,0.17447
0.27136,0.00058,0.00023,0.01355,0.04289,0.08266
0.39028,0.04433,0.01588,0.0622,0.11465,0.13919
0.38222,0.1649,0.06724,0.11923,0.04492,0.06091
0.36759,0.13701,0.06468,0.11765,0.08422,0.11974
0.33864,0.04795,0.04397,0.08143,0.13602,0.16469
0.31441,0.02024,-0.02673,0.06487,0.06686,0.14487
0.39584,0.06297,0.03041,0.06751,0.12081,0.14828
0.38758,0.09323,0.02891,0.0861,0.06965,0.12648
0.35907,0.03863,0.00131,0.03056,0.0768,0.10264
0.46119,0.03622,0.03527,0.06182,0.09462,0.12511
0.20476,0.0172,0.00537,0.01129,0.00556,0.05475
0.37041,-0.0209,0.03318,0.04735,0.17372,0.14208
0.2941,0.02558,-0.00218,0.02306,0.01722,0.08922
0.48669,0.02289,0.01647,0.065,0.09965,0.1568
0.38686,0.06995,0.0268,0.09907,0.0529,0.12396
0.37857,0.075,-0.00173,0.07712,0.08149,0.10625
0.46473,0.10306,0.07795,0.10382,0.10309,0.1158
0.33339,0.03105,0.01648,0.04473,0.12499,0.10488
0.3225,0.02548,0.02511,0.0635,0.09188,0.13973
0.34303,0.16718,0.0567,0.09388,0.01084,0.07615
0.48736,0.08003,0.03367,0.06516,0.06415,0.13556
0.42382,0.07434,0.0557,0.06594,0.07789,0.1272
0.35752,0.09147,0.03998,0.07628,0.06306,0.12493
0.43901,0.04516,0.01647,0.04941,0.09243,0.08937
0.47541,0.11789,0.01094,0.09351,0.07376,0.1266
0.38988,0.13365,0.03249,0.0808,0.04692,0.07271
0.32889,0.06385,0.02532,0.05494,0.12036,0.12131
0.3944,0.092,0.04702,0.1064,0.13788,0.15348
0.37132,0.01694,0.00668,0.06926,0.11731,0.13754
0.35388,0.08576,0.02453,0.08584,0.13962,0.15236
0.26377,0.02733,0.00567,0.01963,0.01254,0.06134
0.31826,0.00112,-0.00335,0.01698,0.10888,0.11078
0.31322,0.01162,0.00673,0.04515,0.07668,0.0884
0.3749,-0.00649,0.05741,0.06958,0.11141,0.14176
0.36001,0.06753,0.01787,0.07672,0.08,0.11878
0.39358,0.04256,0.03079,0.04976,0.10442,0.08694
0.31577,0.0044,0.02106,0.03006,0.03351,0.08049
0.31539,0.0376,0.00961,0.03872,0.08297,0.12738
0.40752,0.09717,0.01615,0.06394,0.042,0.09809
0.45478,0.10933,0.04323,0.10399,0.0967,0.14686
0.36895,0.08438,0.03203,0.10005,0.06671,0.11729
0.39567,0.10826,0.04102,0.07778,0.05276,0.10543
0.39059,0.05563,0.03789,0.06119,0.10764,0.13946
0.35755,0.06811,0.00919,0.05241,0.03945,0.08894
0.38889,0.10134,0.04185,0.10429,0.07825,0.15489
0.37931,0.05342,0.0208,0.06672,0.11734,0.13888
0.31954,0.17976,0.02482,0.10615,0.04367,0.12473
0.44407,0.12546,0.03183,0.09615,0.10432,0.11702
0.38414,0.02967,0.03232,0.0733,0.14252,0.13451
0.3747,0.11404,0.04689,0.11277,0.0666,0.09728
0.44144,0.09866,0.06168,0.10396,0.10561,0.10384
0.44754,0.06751,-0.00298,0.08957,0.052,0.13965
0.30883,0.07714,-0.01839,0.05774,0.03003,0.06617
0.3211,0.06645,0.01868,0.03301,0.03726,0.06675
0.29785,0.0551,0.00136,0.03214,0.04547,0.10907
0.25042,0.0482,0.01945,0.06657,0.12434,0.14356
0.22946,0.02638,-0.00222,0.0186,0.01017,0.07735
0.33417,0.08554,0.05454,0.12055,0.15123,0.17134
0.33509,0.13971,0.0542,0.11355,0.06555,0.077
0.27009,0.05341,0.00287,0.06141,0.14802,0.13375
0.44364,0.04615,0.04546,0.0571,0.08875,0.11068
0.45802,0.06688,0.04388,0.08276,0.08647,0.11118
0.38744,0.05149,0.01038,0.0436,0.10992,0.11867
0.38152,0.04054,0.0102,0.05391,0.07096,0.09133
0.48771,0.0689,0.05439,0.11262,0.10307,0.13169
0.38496,0.16059,0.03363,0.10578,0.03672,0.05289
0.4222,0.06608,0.03125,0.06682,0.10164,0.10694
0.31966,0.03006,0.00953,0.04147,0.05912,0.09083
0.36944,0.09637,0.04604,0.08703,0.10165,0.09724
0.27667,0.00059,-0.00938,0.02182,0.13265,0.1329
0.33942,0.01183,-0.00403,0.04192,0.09771,0.12006
0.36505,0.00977,0.01876,0.05129,0.06407,0.13039
0.49206,0.05937,0.05101,0.09544,0.1054,0.12083
0.26919,0.01624,0.01332,0.01902,0.02322,0.08749
0.41904,0.13987,0.08894,0.15161,0.10556,0.08231
0.39706,0.17363,0.05466,0.13167,0.06424,0.10712
0.40924,0.02827,7e-04,0.05817,0.10061,0.1391
0.33135,0.06176,0.04319,0.08824,0.11773,0.11652
0.46117,0.14171,0.09378,0.13404,0.10598,0.12096
