proximity,families,feed,hatcheries,rendac,veterinaries
0.46961,-0.02703,-0.02816,0.00663,0.07357,0.06379
0.30283,-0.03256,0.0225,0.05952,0.11371,0.10545
0.42903,-0.01518,-0.03501,0.0295,0.01431,0.04331
0.2719,-0.00191,-0.01899,-0.00392,0.00114,0.0455
0.24789,-0.0286,-0.02309,-0.00604,0.0064,0.04238
0.32686,-0.06305,-0.04537,0.04399,0.08507,0.05858
0.32812,-0.03333,-0.02513,0.01011,0.09299,0.11031
0.253,-0.03081,-0.02561,0.00665,0.12185,0.0862
0.38895,-0.02154,-0.02578,0.02956,0.08762,0.10062
0.29373,-0.02881,-0.01751,-0.00042,0.0233,0.06598
0.39603,-0.00298,-0.03255,0.06636,0.05591,0.0545
0.28321,0.04496,-0.04321,0.00856,0.09138,0.1167
0.34158,-0.06583,-0.03004,0.03468,0.12666,0.11933
0.47844,-0.0081,-0.0365,0.05921,0.03981,0.06044
0.40074,-0.00144,-0.03088,0.03739,0.11053,0.11313
0.33398,-0.06803,-0.01962,0.03333,0.06809,0.09511
0.41063,-0.04131,0.04203,0.03884,0.10252,0.07001
0.31954,0.04793,0.04196,0.07955,0.11033,0.0455
0.34376,-0.01363,0.01959,0.0487,0.0895,0.07643
0.28489,-0.03045,-0.01467,0.06787,0.13159,0.07154
0.36588,0.05005,-0.02232,0.03784,0.04512,0.02012
0.28269,-0.04117,-0.01624,0.01233,0.04116,0.0814
0.39315,0.02525,-0.02092,0.07632,0.06621,0.04611
0.33709,-0.02854,-0.02987,0.04607,0.10253,0.07829
0.33683,-0.03846,-0.03282,0.01446,0.09003,0.09075
0.37757,-0.02298,-0.04948,-0.00905,0.04998,0.0816
0.41062,0.07322,0.01732,0.03846,0.06109,0.05342
0.34955,-0.07742,-0.02612,-0.00055,0.06851,0.10451
0.36664,-0.07775,-0.04564,0.04306,0.11743,0.10706
0.35827,-0.08887,-0.03288,0.07261,0.09746,0.10191
0.3626,-0.03661,-0.00714,0.00679,0.10138,0.09451
0.37772,0.03546,-0.0042,0.01157,0.08002,0.08602
0.37564,-0.02822,-0.0092,0.0139,0.03748,0.08859
0.44268,0.01764,0.01465,0.05072,0.021,0.0341
0.35809,0.06018,0.00401,0.04869,0.05933,0.02902
0.4381,0.00129,-0.0058,0.03551,0.0466,0.06084
0.3372,0.00682,-0.04458,0.0428,0.10426,0.06322
0.31785,-0.05037,-0.01705,0.03553,0.11142,0.11887
0.40499,-0.04983,0.01043,0.02604,0.09872,0.1012
0.333,-0.00314,-0.0422,0.06539,0.09366,0.07321
0.4084,0.01494,-0.02898,0.00955,0.06653,0.11844
0.44093,0.04591,-0.04109,0.00812,0.03898,0.01609
0.34534,0.04311,-0.01893,0.03591,0.08236,0.09901
0.28986,-0.03613,-0.0247,-0.00205,0.03355,0.07738
0.30965,0.03823,-0.01574,0.02245,0.07711,0.11789
0.32979,-0.008,-0.02176,0.04149,0.09309,0.1167
0.4223,0.05334,-0.02341,0.02489,0.04556,0.04349
0.35476,0.06192,-0.00164,0.01853,0.07607,0.05402
0.37847,0.02398,-0.00211,0.03299,0.10118,0.13061
0.38078,-0.03416,0.03804,0.03981,0.1293,0.10801
0.32998,-0.04723,-0.02332,0.02746,0.10273,0.10573
0.2913,0.02617,-0.04937,0.01572,0.04121,0.03272
0.32893,-0.02061,-0.03009,-0.00728,0.0276,0.07098
0.32887,0.02788,-0.02371,0.0265,0.00509,0.04245
0.29457,0.00299,-0.04599,0.03982,0.11368,0.07275
0.41229,0.01582,0.00168,0.01448,0.09855,0.11712
0.3871,0.09203,-0.0083,0.02908,0.04215,0.03281
0.26589,-0.03582,-0.02484,-0.00218,0.0322,0.06738
0.19549,-0.0288,-0.01795,-0.01367,0.00165,0.06178
0.36286,-0.02947,-0.02691,0.03863,0.08904,0.11113
0.35894,-0.02794,-0.00477,0.00302,0.10696,0.07493
0.31149,0.02724,0.00191,0.04934,0.07082,0.02518
0.35123,-0.01337,0.0032,0.05198,0.08492,0.07266
0.38358,-0.01585,0.01765,0.00123,0.05485,0.07963
0.35885,-8e-05,0.00982,0.0678,0.09355,0.08937
0.27856,-0.00629,-0.03833,0.01164,0.00457,0.05645
0.39776,0.01124,0.01055,0.04672,0.06472,0.06271
0.2942,-0.03473,-0.04218,0.02239,0.08532,0.0755
0.34711,-0.03917,-0.03926,0.01642,0.0507,0.09614
0.42832,-0.02218,-0.01589,0.04194,0.12388,0.08879
0.2136,-0.02975,-0.01115,0.00082,0.01332,0.05623
0.30028,-0.03486,-0.01697,0.05739,0.07723,0.07108
0.36248,-0.06212,-0.04665,0.02271,0.07441,0.10573
0.42599,-0.04745,-0.01103,0.02006,0.09786,0.10056
0.39054,-0.06768,-0.00795,0.03778,0.09331,0.07894
0.45873,-0.00708,0.00653,0.03383,0.0444,0.08113
0.37456,-0.04323,-0.01837,0.06821,0.07902,0.09599
0.41865,0.00667,0.00068,0.02858,0.05419,0.09072
0.3137,-0.06673,0.0017,0.04221,0.16042,0.11967
0.4164,-0.01387,-0.0032,0.01695,0.1027,0.11202
0.41254,-0.00317,-0.02565,0.07672,0.07367,0.09505
0.32023,0.08516,-0.00389,0.0395,0.07254,0.04394
0.35112,-0.04363,-0.03662,0.03715,0.10405,0.10756
0.41981,-0.06462,-0.00216,0.04446,0.1159,0.09844
0.33692,0.00219,-0.00186,0.03784,0.08306,0.07944
0.39427,-0.04696,-0.01382,0.02006,0.10453,0.09223
0.38278,-0.04306,-0.02839,0.05004,0.07495,0.1075
0.1822,-0.02528,-0.0138,-0.01138,-0.00859,0.04607
0.31192,-0.07024,0.06266,0.08785,0.07433,0.08117
0.33691,-0.02929,-0.05152,0.04279,0.10184,0.09523
0.35067,-0.02331,-0.02361,0.03464,0.12219,0.12132
0.41401,-0.01456,-0.02631,0.02968,0.04711,0.08644
0.17726,-0.02278,-0.01356,-0.01273,-0.0105,0.04389
0.40334,-0.01534,-0.01548,0.0277,0.0359,0.10259
0.4229,-0.05151,-0.02077,0.01612,0.05833,0.14178
0.37749,-0.00774,-0.01735,0.04115,0.04413,0.07053
0.37627,0.04802,0.01001,0.03921,0.05749,0.0814
0.44227,-0.00805,-0.00953,0.01911,0.07162,0.09984
0.32913,-0.03712,0.00496,0.00842,0.15792,0.14072
0.27492,-0.04859,-0.02344,-0.00283,0.0311,0.07144
0.38675,-0.03374,-0.03161,0.01873,0.09655,0.10631
0.36262,0.09407,0.01876,0.04141,0.03399,0.00516
0.34864,0.05851,0.01381,0.03968,0.06663,0.06878
0.32993,-0.03203,-0.00447,0.02898,0.11264,0.13027
