farm_density,cumulated_max_capacity
4,180900
5,117500
5,117500
5,117500
0,0
5,117500
5,117500
5,117500
5,117500
0,0
4,167499
0,0
1,37000
4,180900
1,0
3,771000
4,180900
4,180900
0,0
4,167499
5,117500
12,207500
2,55450
0,0
1,19500
1,19500
1,19500
4,167499
1,19500
1,0
0,0
1,19500
0,0
1,0
1,0
1,8000
0,0
6,194874
4,180900
0,0
1,8000
1,0
1,20000
1,37000
1,0
1,0
6,194874
1,20000
0,0
1,0
8,329538
1,42500
1,1500
0,0
5,117500
1,0
12,207500
6,194874
1,4999
2,36500
6,45390
0,0
5,71500
2,87500
0,0
1,0
0,0
4,167499
2,36500
1,37000
0,0
0,0
0,0
4,167499
0,0
0,0
0,0
0,0
1,0
1,37000
0,0
1,42500
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,42500
1,19500
0,0
0,0
0,0
1,19500
0,0
0,0
0,0
1,20000
0,0
0,0
1,0
0,0
0,0
1,8500
0,0
0,0
0,0
1,19500
5,71500
2,113900
0,0
1,19500
1,19500
1,22500
0,0
0,0
0,0
0,0
0,0
2,45000
2,87500
0,0
0,0
2,45000
6,194874
0,0
6,194874
1,0
0,0
1,19500
0,0
0,0
6,194874
2,87500
0,0
1,0
0,0
8,329538
1,19500
6,194874
0,0
0,0
0,0
5,117500
1,4999
0,0
0,0
2,239
1,18000
5,59000
0,0
2,87500
4,167499
0,0
2,87500
1,42500
1,20000
6,194874
2,55450
4,167499
0,0
0,0
0,0
0,0
0,0
5,71500
1,19500
2,148003
2,41963
0,0
2,45000
3,200
0,0
6,45390
2,55450
2,55450
1,0
1,0
0,0
1,50000
2,41963
0,0
1,19500
2,45000
1,19500
1,0
1,0
0,0
0,0
0,0
8,822370
0,0
8,37248
1,0
4,167499
1,3500
0,0
1,6000
