farm_density,cumulated_max_capacity
4,180900
4,180900
0,0
1,4999
4,180900
1,4999
0,0
1,4999
0,0
1,4999
5,178820
1,4999
0,0
1,4999
0,0
1,4999
0,0
1,4999
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,67000
0,0
1,4999
0,0
0,0
1,4999
5,20050
1,4999
0,0
0,0
0,0
1,4999
0,0
0,0
0,0
0,0
1,4999
1,4999
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,145124
0,0
1,4999
1,4999
0,0
5,20050
0,0
0,0
5,20050
0,0
0,0
0,0
0,0
3,145124
0,0
0,0
0,0
0,0
5,67000
1,4999
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,500
5,71500
0,0
0,0
1,130
1,4999
0,0
3,145124
0,0
0,0
0,0
1,0
0,0
0,0
1,9000
8,329538
1,20000
0,0
5,83164
0,0
0,0
0,0
0,0
0,0
2,41963
0,0
4,106000
1,4999
1,4999
0,0
0,0
0,0
1,4999
0,0
5,85500
0,0
1,4999
0,0
0,0
1,27613
5,20050
0,0
0,0
0,0
0,0
0,0
1,4999
1,4999
0,0
0,0
0,0
0,0
5,178820
0,0
0,0
0,0
1,35000
0,0
1,84500
0,0
0,0
0,0
0,0
2,41963
0,0
0,0
0,0
0,0
0,0
0,0
5,42999
0,0
8,141500
8,141500
0,0
0,0
0,0
0,0
0,0
0,0
1,35000
1,110153
0,0
0,0
0,0
0,0
0,0
1,9000
1,0
0,0
3,54
0,0
0,0
0,0
0,0
0,0
0,0
1,37000
0,0
1,9000
0,0
1,0
0,0
0,0
0,0
1,35000
6,45390
0,0
0,0
2,113290
0,0
6,45390
5,161200
0,0
0,0
0,0
0,0
