farm_density,cumulated_max_capacity
4,180900
0,0
0,0
5,117500
0,0
4,59499
4,59499
0,0
0,0
0,0
2,22280
2,22280
0,0
2,22280
2,22280
2,22280
2,22280
1,4999
1,4999
0,0
0,0
9,158500
7,545000
8,410200
9,158500
9,158500
9,158500
9,158500
9,158500
1,19500
9,158500
9,158500
3,13100
6,58100
6,58100
6,58100
4,114980
6,58100
0,0
3,15400
0,0
5,119466
19,354444
5,47000
5,142500
5,47000
0,0
5,47000
4,97000
19,354444
3,59500
19,354444
19,354444
5,118125
5,118125
5,118125
5,119466
19,354444
5,118125
5,118125
4,97000
2,29000
6,126500
0,0
6,126500
4,36999
2,17999
0,0
5,118125
6,3620600
6,3620600
6,3620600
5,57848
0,0
2,13400
0,0
2,13400
6,45390
6,45390
6,104000
6,194874
6,194874
6,194874
6,194874
6,194874
6,194874
6,194874
6,104000
6,194874
6,194874
6,194874
1,20000
2,113290
8,211000
6,45390
6,104000
2,13400
2,750000
2,750000
2,750000
0,0
2,13400
2,13400
4,57691
2,68000
12,207500
0,0
2,68000
9,165800
0,0
10,90600
9,165800
9,165800
0,0
2,13400
2,13400
1,22500
1,108500
1,22500
1,22500
11,4566800
1,22500
11,4566800
3,32000
9,165800
3,27000
4,36999
3,27000
6,38500
3,27000
2,13400
0,0
0,0
6,38500
5,117500
5,117500
1,4999
4,180900
1,4999
1,4999
1,4999
11,444721
1,4999
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
13,328744
6,104000
13,328744
6,239240
3,145124
3,145124
0,0
5,253200
1,4999
1,22730
6,189473
6,239240
1,4999
1,22200
2,20000
1,4999
6,189473
6,189473
6,189473
4,106000
11,444721
12,207500
5,117500
2,113290
5,117500
1,4999
8,329538
1,135168
12,207500
1,135168
0,0
0,0
5,85500
0,0
1,135168
9,179370
12,207500
12,207500
5,117500
4,97000
12,207500
4,97000
4,96504
0,0
4,97000
