farm_density,cumulated_max_capacity
4,180900
4,180900
0,0
0,0
0,0
1,22500
0,0
4,167499
0,0
4,4950
1,19500
1,135168
4,4950
4,4950
3,50000
4,4950
1,19500
0,0
0,0
0,0
0,0
4,180900
4,4950
4,4950
4,167499
0,0
4,167499
1,19500
0,0
0,0
0,0
1,19500
0,0
0,0
0,0
0,0
0,0
5,85500
0,0
3,214000
4,4950
0,0
0,0
0,0
0,0
0,0
3,67000
0,0
6,194874
0,0
0,0
0,0
0,0
1,19500
0,0
0,0
0,0
0,0
0,0
2,55450
1,48500
0,0
1,19500
3,67000
6,194874
4,167499
5,71500
4,4950
0,0
0,0
5,71500
0,0
2,40000
1,19500
5,71500
5,71500
4,4950
5,71500
0,0
0,0
0,0
3,50000
5,71500
0,0
5,85500
3,67000
1,12000
0,0
4,167499
0,0
3,214000
0,0
0,0
0,0
0,0
2,40000
0,0
0,0
0,0
0,0
1,31250
0,0
3,13100
0,0
0,0
2,40000
3,67000
0,0
2,40000
0,0
0,0
1,0
0,0
8,329538
4,167499
1,12500
5,42999
1,48500
0,0
0,0
1,31250
0,0
0,0
0,0
0,0
6,194874
6,194874
0,0
1,0
5,71500
0,0
1,31250
0,0
0,0
0,0
0,0
0,0
6,194874
3,214000
1,37000
0,0
0,0
0,0
0,0
1,6500
0,0
0,0
5,85500
1,70
5,195000
0,0
0,0
0,0
0,0
0,0
6,194874
0,0
0,0
6,194874
0,0
6,194874
3,50000
3,50000
2,40000
0,0
2,2000
3,214000
0,0
0,0
0,0
0,0
3,50000
0,0
1,17000
0,0
3,145124
0,0
2,52000
0,0
0,0
2,20000
1,4999
0,0
1,6500
3,64000
0,0
0,0
1,0
0,0
0,0
0,0
0,0
2,2000
3,84900
2,2000
4,167499
0,0
0,0
0,0
0,0
