farm_density,cumulated_max_capacity
4,180900
5,59000
5,59000
0,0
4,180900
12,207500
4,59499
5,59000
5,59000
5,59000
7,104000
12,207500
12,207500
4,57691
12,207500
6,194874
1,12000
11,4566800
12,207500
5,57848
5,57848
2,68000
2,68000
0,0
13,328744
2,13400
2,13400
0,0
0,0
6,38500
2,13400
2,13400
2,13400
0,0
9,165800
13,328744
4,36999
2,13400
2,13400
2,13400
9,165800
9,165800
9,165800
1,108500
9,165800
9,165800
3,27000
9,165800
11,4566800
11,4566800
3,32000
11,4566800
6,38500
9,165800
6,194874
6,194874
8,211000
6,45390
6,194874
6,104000
6,194874
6,194874
1,20000
6,194874
6,194874
6,194874
6,194874
2,113290
6,104000
6,194874
6,45390
6,104000
5,253200
11,444721
6,189473
6,189473
6,239240
6,189473
3,145124
6,239240
3,145124
0,0
5,253200
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
8,410200
8,410200
13,328744
6,104000
13,328744
11,444721
11,444721
11,444721
11,444721
5,253200
7,104000
11,444721
6,189473
2,20000
11,444721
2,20000
1,22200
4,106000
11,444721
5,253200
1,22730
12,207500
5,117500
2,113900
5,117500
9,179370
5,117500
5,117500
5,117500
2,113900
4,97000
4,97000
0,0
4,96504
2,29000
2,22280
4,59499
4,59499
4,59499
1,3500
0,0
0,0
2,22280
6,3620600
2,17999
6,3620600
6,3620600
4,36999
0,0
19,354444
5,47000
5,119466
5,47000
5,142500
0,0
3,59500
3,59500
5,118125
3,59500
4,97000
19,354444
5,118125
5,118125
19,354444
5,118125
19,354444
5,119466
4,36999
6,126500
0,0
1,3500
1,4999
8,329538
5,118125
10,90600
3,13100
4,59499
4,59499
6,58100
6,58100
6,58100
3,15400
4,114980
4,114980
0,0
2,22280
2,22280
1,4999
2,22280
0,0
1,4999
7,545000
0,0
9,3133190
7,545000
9,158500
9,158500
9,3133190
9,158500
9,158500
1,19500
9,158500
9,158500
5,85500
1,135168
1,135168
1,135168
0,0
1,135168
