farm_density,cumulated_max_capacity
4,180900
4,180900
4,180900
5,117500
5,57848
5,117500
5,117500
4,180900
5,117500
5,117500
9,179370
2,113900
4,96504
2,113900
0,0
4,97000
5,178820
5,57848
1,135168
0,0
4,59499
0,0
4,114980
0,0
6,58100
0,0
4,114980
0,0
3,15400
4,114980
3,13100
2,29000
1,135168
1,135168
0,0
1,135168
1,135168
5,85500
5,178820
2,17999
7,104000
5,59000
5,253200
1,4999
5,253200
5,253200
5,253200
5,253200
6,189473
11,444721
11,444721
11,444721
13,328744
11,444721
13,328744
6,104000
11,444721
11,444721
1,4999
11,444721
11,444721
11,444721
11,444721
11,444721
5,253200
6,189473
2,20000
5,253200
1,22200
2,20000
5,253200
6,189473
4,106000
11,444721
6,189473
1,22730
6,239240
6,189473
6,239240
0,0
3,145124
0,0
1,0
1,3500
2,20000
1,4999
10,90600
8,329538
0,0
1,0
6,126500
5,118125
1,0
5,118125
5,118125
0,0
5,118125
5,118125
5,118125
5,118125
5,119466
19,354444
4,97000
19,354444
1,0
3,59500
5,142500
0,0
5,47000
0,0
6,126500
4,36999
6,3620600
2,17999
6,3620600
6,3620600
2,750000
12,207500
12,207500
4,57691
2,750000
0,0
2,750000
2,750000
2,13400
2,750000
2,68000
2,13400
2,68000
0,0
2,750000
6,104000
6,38500
6,45390
6,194874
6,45390
6,45390
12,207500
6,104000
6,45390
8,329538
6,194874
6,194874
8,211000
6,104000
6,194874
2,113290
6,194874
2,113290
6,194874
6,194874
1,20000
6,194874
6,194874
0,0
6,38500
0,0
6,104000
0,0
1,108500
2,113290
0,0
0,0
0,0
6,38500
9,165800
11,4566800
11,4566800
11,4566800
3,32000
1,4999
3,27000
5,57848
4,36999
4,167499
9,165800
2,13400
2,13400
5,178820
0,0
7,545000
1,4999
0,0
1,4999
7,545000
9,158500
9,158500
9,158500
9,158500
9,158500
9,158500
9,158500
9,158500
1,19500
9,158500
5,118125
8,410200
5,118125
2,22280
0,0
