farm_density,cumulated_max_capacity
4,180900
5,67000
5,67000
1,20000
5,67000
1,20000
1,4999
1,20000
2,113290
1,4999
1,20000
0,0
0,0
0,0
5,67000
0,0
0,0
3,64000
1,20000
0,0
1,27613
0,0
5,67000
3,64000
0,0
0,0
1,4999
0,0
0,0
1,20000
0,0
8,141500
0,0
0,0
3,64000
8,141500
0,0
0,0
0,0
0,0
1,20000
8,141500
0,0
0,0
0,0
0,0
0,0
0,0
11,444721
0,0
1,20000
0,0
8,141500
0,0
0,0
0,0
0,0
0,0
0,0
1,4999
0,0
3,64000
1,20000
8,141500
3,64000
0,0
3,64000
0,0
4,115000
3,64000
0,0
0,0
3,64000
0,0
0,0
0,0
1,4999
4,167499
0,0
0,0
6,194874
0,0
0,0
0,0
1,27613
0,0
0,0
3,104000
4,115000
0,0
0,0
0,0
0,0
0,0
0,0
5,117500
11,444721
0,0
0,0
0,0
0,0
1,19500
1,19500
0,0
0,0
0,0
11,78600
0,0
0,0
5,117500
0,0
1,4999
0,0
1,19500
0,0
0,0
0,0
1,19500
0,0
0,0
5,117500
0,0
1,9000
0,0
4,2750
0,0
0,0
0,0
3,64000
1,19500
0,0
0,0
3,64000
3,64000
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
5,42999
4,2750
0,0
0,0
5,57848
0,0
0,0
0,0
0,0
2,33500
4,2750
5,117500
5,117500
5,117500
0,0
2,20000
0,0
0,0
0,0
5,67000
1,4999
4,2750
2,17000
4,2750
0,0
0,0
0,0
1,27613
0,0
2,33500
0,0
1,9000
0,0
0,0
0,0
1,19900
5,83164
0,0
0,0
3,130
1,9000
5,67000
0,0
0,0
0,0
2,67939
0,0
0,0
1,4999
0,0
11,4566800
0,0
0,0
5,71500
8,141500
0,0
0,0
0,0
