farm_density,cumulated_max_capacity
4,180900
2,17999
5,57848
2,750000
4,180900
5,57848
5,57848
5,57848
5,57848
2,17999
1,4999
8,329538
5,57848
5,57848
5,57848
2,17999
2,17999
0,0
6,3620600
6,3620600
4,36999
0,0
4,36999
6,126500
5,118125
19,354444
19,354444
3,59500
3,59500
19,354444
4,97000
5,118125
5,118125
0,0
5,119466
5,118125
5,118125
19,354444
5,118125
5,118125
5,142500
0,0
5,47000
0,0
5,85500
5,59000
12,207500
5,117500
9,179370
5,117500
5,117500
2,113900
4,97000
4,96504
4,96504
2,29000
9,158500
4,97000
0,0
4,97000
5,117500
5,117500
5,85500
1,135168
0,0
1,135168
0,0
1,135168
2,13400
2,750000
0,0
5,253200
5,253200
6,189473
6,189473
5,253200
6,189473
6,189473
6,189473
6,239240
6,239240
3,145124
0,0
3,145124
1,22730
11,444721
1,17000
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
13,328744
13,328744
6,104000
11,444721
11,444721
3,105700
6,189473
4,106000
3,13100
11,444721
6,189473
2,20000
11,444721
11,444721
11,444721
2,20000
1,22200
6,189473
6,189473
2,750000
1,9000
8,410200
1,9000
7,545000
1,19500
9,158500
9,158500
9,158500
9,158500
1,19500
9,158500
1,4999
2,22280
1,4999
1,4999
10,90600
0,0
0,0
2,22280
0,0
2,13400
2,13400
5,126300
4,59499
0,0
6,58100
0,0
0,0
0,0
3,15400
4,114980
2,13400
2,13400
3,144490
2,13400
6,104000
2,13400
6,104000
1,9600
6,104000
6,104000
6,45390
6,104000
6,45390
8,211000
6,194874
6,45390
1,20000
6,194874
6,194874
6,194874
6,104000
6,194874
2,113290
6,194874
6,194874
6,194874
0,0
2,68000
9,165800
0,0
9,165800
0,0
6,38500
0,0
9,165800
1,108500
1,108500
1,108500
1,108500
3,27000
9,165800
1,108500
11,4566800
11,4566800
3,32000
11,4566800
6,38500
1,108500
9,165800
4,36999
9,165800
9,165800
2,13400
2,13400
4,57691
12,207500
