farm_density,cumulated_max_capacity
4,180900
5,57848
5,57848
12,207500
2,750000
12,207500
1,4999
12,207500
11,444721
1,4999
11,444721
1,17000
11,444721
0,0
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
13,328744
13,328744
6,104000
1,22730
0,0
6,239240
0,0
3,145124
0,0
5,253200
6,189473
11,444721
2,20000
6,189473
11,444721
6,189473
6,189473
2,20000
4,106000
1,22200
2,20000
4,167499
4,180900
10,609500
4,167499
5,117500
9,179370
5,117500
5,117500
2,113900
3,13100
2,113900
9,158500
4,96504
2,29000
4,97000
0,0
4,180900
4,180900
0,0
2,22280
2,22280
2,22280
4,59499
6,58100
6,58100
6,58100
4,114980
3,15400
0,0
4,114980
2,22280
2,22280
7,545000
9,158500
9,158500
1,19500
8,410200
9,158500
9,158500
1,19500
1,19500
9,158500
9,158500
9,158500
2,22280
1,4999
0,0
1,4999
0,0
2,22280
5,85500
4,85500
1,135168
0,0
1,135168
1,135168
2,750000
2,750000
2,750000
6,45390
6,45390
6,45390
6,104000
6,45390
6,45390
6,194874
6,194874
6,104000
6,104000
6,194874
6,194874
1,20000
6,194874
6,194874
0,0
8,211000
2,113290
6,194874
2,750000
0,0
9,165800
5,57848
9,165800
9,165800
9,165800
3,27000
1,108500
0,0
0,0
6,38500
4,36999
9,165800
9,165800
9,165800
9,165800
11,4566800
11,4566800
3,32000
6,38500
9,165800
9,165800
3,27000
9,165800
2,13400
2,13400
2,13400
0,0
0,0
12,207500
2,750000
10,90600
4,114980
2,68000
0,0
2,13400
4,57691
2,13400
2,13400
5,57848
5,57848
6,45390
12,207500
8,329538
1,4999
2,17999
5,57848
6,3620600
2,17999
6,3620600
6,3620600
6,126500
19,354444
4,36999
6,126500
5,118125
5,118125
5,118125
19,354444
5,119466
5,118125
19,354444
5,118125
5,118125
5,118125
5,119466
5,118125
5,142500
5,119466
5,47000
0,0
3,59500
19,354444
19,354444
4,97000
