farm_density,cumulated_max_capacity
5,117500
4,167499
4,167499
4,167499
4,167499
4,167499
4,167499
0,0
0,0
4,167499
5,140500
4,167499
6,104000
5,59000
4,167499
0,0
5,59000
3,771000
0,0
3,771000
5,57848
0,0
4,167499
0,0
4,167499
12,207500
4,167499
0,0
1,12000
0,0
5,140500
0,0
1,17000
0,0
0,0
4,167499
0,0
0,0
0,0
2,17999
0,0
1,20000
12,207500
0,0
4,167499
0,0
0,0
0,0
3,771000
1,4999
5,59000
5,59000
0,0
12,207500
0,0
0,0
12,207500
3,105700
0,0
0,0
12,207500
0,0
5,117500
4,167499
0,0
0,0
0,0
0,0
1,3500
0,0
0,0
0,0
0,0
1,178000
0,0
11,4566800
0,0
0,0
0,0
1,17000
0,0
0,0
0,0
3,771000
0,0
1,45000
0,0
0,0
0,0
0,0
0,0
2,17000
0,0
0,0
0,0
8,37248
0,0
2,17999
0,0
0,0
0,0
0,0
11,4566800
11,4566800
0,0
0,0
3,105700
0,0
2,17999
1,15000
8,37248
2,39999
0,0
0,0
0,0
8,37248
0,0
2,39999
5,42999
2,39999
0,0
3,144490
2,750000
0,0
0,0
0,0
0,0
2,39999
0,0
2,750000
0,0
0,0
0,0
2,39999
0,0
0,0
0,0
0,0
0,0
1,4999
5,42999
1,12000
2,39999
0,0
0,0
0,0
2,113290
0,0
0,0
0,0
5,42999
0,0
5,67000
5,42999
0,0
0,0
0,0
0,0
0,0
1,4999
0,0
0,0
0,0
0,0
1,2500
5,140500
0,0
5,59000
11,4566800
0,0
0,0
1,70
0,0
1,70
0,0
1,22500
0,0
0,0
5,59000
2,239
0,0
0,0
0,0
6,194874
2,750000
11,4566800
0,0
1,3500
1,70
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,4999
0,0
0,0
0,0
