farm_density,cumulated_max_capacity
4,180900
4,180900
4,180900
4,167499
4,167499
4,167499
6,194874
6,104000
6,194874
6,104000
5,117500
6,104000
5,59000
4,36999
6,126500
4,36999
2,17999
6,3620600
6,3620600
6,3620600
3,59500
12,207500
0,0
4,97000
3,59500
5,118125
0,0
19,354444
5,118125
5,118125
5,118125
5,118125
19,354444
5,119466
5,47000
0,0
0,0
5,142500
19,354444
3,59500
1,4999
8,329538
1,135168
6,58100
5,85500
5,85500
0,0
1,135168
1,135168
1,135168
6,58100
6,58100
6,58100
0,0
4,114980
3,15400
4,167499
4,167499
5,59000
1,19500
5,117500
9,179370
5,117500
5,117500
9,158500
1,19500
4,96504
0,0
4,96504
10,90600
2,29000
4,96504
0,0
4,97000
3,13100
9,158500
4,167499
11,444721
12,207500
0,0
12,207500
6,104000
4,167499
6,45390
0,0
6,194874
0,0
7,104000
9,165800
0,0
9,165800
9,165800
2,13400
2,13400
6,38500
0,0
0,0
1,108500
0,0
0,0
0,0
0,0
11,4566800
3,32000
11,4566800
3,27000
9,165800
6,38500
5,57848
4,36999
6,45390
6,45390
6,104000
6,45390
6,194874
6,45390
6,194874
8,211000
6,194874
6,194874
6,194874
1,20000
6,194874
2,113290
6,194874
6,194874
6,104000
6,194874
6,104000
6,45390
0,0
2,13400
2,13400
2,13400
0,0
2,13400
2,68000
0,0
12,207500
4,57691
4,59499
0,0
0,0
9,158500
9,158500
1,17000
9,158500
9,158500
9,158500
9,158500
9,158500
1,19500
7,545000
8,410200
5,118125
2,22280
0,0
5,118125
1,4999
0,0
2,22280
0,0
6,189473
11,444721
5,253200
5,253200
6,189473
11,444721
11,444721
1,22730
6,189473
5,253200
11,444721
6,189473
6,189473
2,20000
4,106000
6,189473
6,189473
6,189473
1,22200
2,20000
6,239240
11,444721
0,0
6,239240
0,0
3,145124
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
13,328744
11,444721
6,104000
13,328744
11,444721
11,444721
