name,date,wind_intensity_average,wind_direction_average
BEITEM,2019-04-01,3.65,77.91
BEITEM,2019-04-02,4.20,202.71
BEITEM,2019-04-03,3.11,189.91
BEITEM,2019-04-04,2.86,154.89
BEITEM,2019-04-05,2.87,102.93
BEITEM,2019-04-06,2.41,63.14
BEITEM,2019-04-07,2.69,294.79
BEITEM,2019-04-08,2.20,320.06
BEITEM,2019-04-09,2.40,23.74
BEITEM,2019-04-10,5.26,36.78
BEITEM,2019-04-11,4.06,29.96
BEITEM,2019-04-12,3.59,37.87
BEITEM,2019-04-13,2.95,27.58
BEITEM,2019-04-14,2.57,52.70
BEITEM,2019-04-15,3.50,91.69
BEITEM,2019-04-16,2.72,144.09
BEITEM,2019-04-17,2.10,146.20
BEITEM,2019-04-18,3.59,70.73
BEITEM,2019-04-19,3.40,54.28
BEITEM,2019-04-20,2.96,37.76
BEITEM,2019-04-21,2.67,55.75
BEITEM,2019-04-22,2.80,88.15
BEITEM,2019-04-23,2.82,99.61
BEITEM,2019-04-24,4.81,170.98
BEITEM,2019-04-25,4.52,166.47
BEITEM,2019-04-26,3.32,207.86
BEITEM,2019-04-27,6.82,241.09
BEITEM,2019-04-28,3.83,295.66
BEITEM,2019-04-29,2.18,27.69
BEITEM,2019-04-30,2.81,13.42
BEITEM,2019-05-01,1.89,332.71
BEITEM,2019-05-02,2.95,312.97
BEITEM,2019-05-03,2.15,352.77
BEITEM,2019-05-04,5.19,352.09
BEITEM,2019-05-05,4.41,335.05
BEITEM,2019-05-06,3.00,251.99
BEITEM,2019-05-07,2.83,187.93
BEITEM,2019-05-08,4.41,181.68
BEITEM,2019-05-09,3.79,221.81
BEITEM,2019-05-10,2.70,306.28
BEITEM,2019-05-11,4.40,1.77
BEITEM,2019-05-12,3.72,0.45
BEITEM,2019-05-13,4.15,45.59
BEITEM,2019-05-14,4.59,49.67
BEITEM,2019-05-15,3.26,47.51
BEITEM,2019-05-16,3.50,40.94
BEITEM,2019-05-17,2.57,59.91
BEITEM,2019-05-18,2.15,44.33
BEITEM,2019-05-19,4.10,340.87
BEITEM,2019-05-20,4.42,329.03
BEITEM,2019-05-21,4.05,333.28
BEITEM,2019-05-22,1.96,21.16
BEITEM,2019-05-23,1.99,230.81
BEITEM,2019-05-24,3.00,313.44
BEITEM,2019-05-25,2.64,267.88
BEITEM,2019-05-26,5.18,231.20
BEITEM,2019-05-27,3.62,267.84
BEITEM,2019-05-28,3.89,313.49
BEITEM,2019-05-29,3.21,213.91
BEITEM,2019-05-30,4.92,231.22
BEITEM,2019-05-31,2.98,242.71
BEITEM,2019-06-01,1.87,229.35
BEITEM,2019-06-02,3.88,214.06
BEITEM,2019-06-03,3.27,236.25
BEITEM,2019-06-04,3.32,132.82
BEITEM,2019-06-05,3.38,264.11
BEITEM,2019-06-06,3.37,209.79
BEITEM,2019-06-07,5.69,144.01
BEITEM,2019-06-08,8.35,223.23
BEITEM,2019-06-09,1.97,230.37
BEITEM,2019-06-10,1.93,212.43
BEITEM,2019-06-11,1.95,162.84
BEITEM,2019-06-12,1.79,173.22
BEITEM,2019-06-13,4.77,195.26
BEITEM,2019-06-14,3.11,181.16
BEITEM,2019-06-15,2.30,269.73
BEITEM,2019-06-16,3.29,216.62
