name,day_hour,wind_direction,wind_speed
BEITEM,2019-02-15 00,84.2,1.576
BEITEM,2019-02-15 01,86.2,1.396
BEITEM,2019-02-15 02,141.5,1.115
BEITEM,2019-02-15 03,120.1,1.064
BEITEM,2019-02-15 04,142.3,1.181
BEITEM,2019-02-15 05,148.1,2.323
BEITEM,2019-02-15 06,150.8,1.728
BEITEM,2019-02-15 07,159.3,1.813
BEITEM,2019-02-15 08,153.5,1.978
BEITEM,2019-02-15 09,174,2.765
BEITEM,2019-02-15 10,158.9,2.321
BEITEM,2019-02-15 11,169.8,3.165
BEITEM,2019-02-15 12,194.3,4.378
BEITEM,2019-02-15 13,188.9,2.973
BEITEM,2019-02-15 14,171.1,2.99
BEITEM,2019-02-15 15,158.6,2.344
BEITEM,2019-02-15 16,163.5,2.532
BEITEM,2019-02-15 17,156.9,1.826
BEITEM,2019-02-15 18,156,1.952
BEITEM,2019-02-15 19,188.7,1.918
BEITEM,2019-02-15 20,174.9,2.437
BEITEM,2019-02-15 21,183.6,3.356
BEITEM,2019-02-15 22,190.4,1.984
BEITEM,2019-02-15 23,192.7,2.517
BEITEM,2019-02-16 00,194.9,1.344
BEITEM,2019-02-16 01,182.6,2.58
BEITEM,2019-02-16 02,181,3.435
BEITEM,2019-02-16 03,182.8,3.056
BEITEM,2019-02-16 04,189.8,2.685
BEITEM,2019-02-16 05,169.5,2.876
BEITEM,2019-02-16 06,179.5,2.661
BEITEM,2019-02-16 07,170.8,2.197
BEITEM,2019-02-16 08,170.7,1.858
BEITEM,2019-02-16 09,201.1,3.27
BEITEM,2019-02-16 10,201.8,3.467
BEITEM,2019-02-16 11,199.9,3.76
BEITEM,2019-02-16 12,212.3,3.484
BEITEM,2019-02-16 13,226.3,3.429
BEITEM,2019-02-16 14,217.9,2.663
BEITEM,2019-02-16 15,205.2,2.802
BEITEM,2019-02-16 16,190.9,2.308
BEITEM,2019-02-16 17,207.1,1.115
BEITEM,2019-02-16 18,183.1,1
BEITEM,2019-02-16 19,153.9,1
BEITEM,2019-02-16 20,180.8,1.01
BEITEM,2019-02-16 21,113.8,1
BEITEM,2019-02-16 22,168.6,1
BEITEM,2019-02-16 23,140,1.093
BEITEM,2019-02-17 00,124.5,1
BEITEM,2019-02-17 01,169.4,1.97
BEITEM,2019-02-17 02,148.4,2.271
BEITEM,2019-02-17 03,152.3,2.055
BEITEM,2019-02-17 04,151.6,1.823
BEITEM,2019-02-17 05,169.1,1.868
BEITEM,2019-02-17 06,157,2.581
BEITEM,2019-02-17 07,160.9,2.843
BEITEM,2019-02-17 08,165.3,2.591
BEITEM,2019-02-17 09,156,2.849
BEITEM,2019-02-17 10,162,3.58
BEITEM,2019-02-17 11,180.7,4.213
BEITEM,2019-02-17 12,183.4,6.274
BEITEM,2019-02-17 13,174.4,5.178
BEITEM,2019-02-17 14,176.4,3.768
BEITEM,2019-02-17 15,185.9,4.511
BEITEM,2019-02-17 16,195.3,4.679
BEITEM,2019-02-17 17,186.2,3.793
BEITEM,2019-02-17 18,178.2,3.031
BEITEM,2019-02-17 19,181.8,2.169
BEITEM,2019-02-17 20,190.3,1.23
BEITEM,2019-02-17 21,241.6,1
BEITEM,2019-02-17 22,166.5,1.651
BEITEM,2019-02-17 23,187.5,2.491
BEITEM,2019-02-18 00,173.5,2.176
BEITEM,2019-02-18 01,181.7,2.719
BEITEM,2019-02-18 02,138.3,1
BEITEM,2019-02-18 03,134.7,1.155
BEITEM,2019-02-18 04,171,1.75
BEITEM,2019-02-18 05,166.5,1.726
BEITEM,2019-02-18 06,163.6,2.672
BEITEM,2019-02-18 07,162.7,2.356
BEITEM,2019-02-18 08,157.3,2.125
BEITEM,2019-02-18 09,209.6,1.472
BEITEM,2019-02-18 10,193.1,1.901
BEITEM,2019-02-18 11,151.5,1.701
BEITEM,2019-02-18 12,170.5,2.218
BEITEM,2019-02-18 13,188.1,3.555
BEITEM,2019-02-18 14,193.3,3.825
BEITEM,2019-02-18 15,208,4.031
BEITEM,2019-02-18 16,204.4,2.506
BEITEM,2019-02-18 17,192.7,2.827
BEITEM,2019-02-18 18,321.6,2.169
BEITEM,2019-02-18 19,181.9,1
BEITEM,2019-02-18 20,229,1.197
BEITEM,2019-02-18 21,279.1,5.051
BEITEM,2019-02-18 22,273.2,3.323
BEITEM,2019-02-18 23,255.6,2.264
BEITEM,2019-02-19 00,226.5,2.642
BEITEM,2019-02-19 01,220,2.617
BEITEM,2019-02-19 02,222.4,2.645
BEITEM,2019-02-19 03,225.7,3.044
BEITEM,2019-02-19 04,212.1,3.064
BEITEM,2019-02-19 05,216.7,3.239
BEITEM,2019-02-19 06,211.1,4.162
BEITEM,2019-02-19 07,214.2,3.878
BEITEM,2019-02-19 08,219.6,3.807
BEITEM,2019-02-19 09,218.2,4.071
BEITEM,2019-02-19 10,239.3,5.035
BEITEM,2019-02-19 11,252.9,5.537
BEITEM,2019-02-19 12,251.8,5.278
BEITEM,2019-02-19 13,254.8,5.232
BEITEM,2019-02-19 14,257.6,5.742
BEITEM,2019-02-19 15,254.3,5.665
BEITEM,2019-02-19 16,272,5.093
BEITEM,2019-02-19 17,253.5,3.571
BEITEM,2019-02-19 18,239.1,2.564
BEITEM,2019-02-19 19,224.7,2.09
BEITEM,2019-02-19 20,211.2,3.212
BEITEM,2019-02-19 21,220.3,3.533
BEITEM,2019-02-19 22,215.3,3.036
BEITEM,2019-02-19 23,213.2,2.032
BEITEM,2019-02-20 00,200.7,2.894
BEITEM,2019-02-20 01,209.8,2.851
BEITEM,2019-02-20 02,200.1,2.197
BEITEM,2019-02-20 03,197.3,2.152
BEITEM,2019-02-20 04,202.8,1.964
BEITEM,2019-02-20 05,193.8,2.438
BEITEM,2019-02-20 06,216.3,2.2
BEITEM,2019-02-20 07,180.9,1.593
BEITEM,2019-02-20 08,195.6,1.964
BEITEM,2019-02-20 09,197.3,3.655
BEITEM,2019-02-20 10,200.8,3.857
BEITEM,2019-02-20 11,201.3,3.869
BEITEM,2019-02-20 12,212.6,4.022
BEITEM,2019-02-20 13,208.4,4.663
BEITEM,2019-02-20 14,211.4,4.492
BEITEM,2019-02-20 15,218.8,5.007
BEITEM,2019-02-20 16,219.2,4.028
BEITEM,2019-02-20 17,213.3,2.878
BEITEM,2019-02-20 18,206,1.675
BEITEM,2019-02-20 19,224.5,1.721
BEITEM,2019-02-20 20,191.2,1.947
BEITEM,2019-02-20 21,192.1,1.984
BEITEM,2019-02-20 22,198.1,2.475
BEITEM,2019-02-20 23,202,2.833
BEITEM,2019-02-21 00,199.4,2.652
BEITEM,2019-02-21 01,201.7,2.956
BEITEM,2019-02-21 02,195,2.549
BEITEM,2019-02-21 03,199.8,2.697
BEITEM,2019-02-21 04,195.6,3.272
BEITEM,2019-02-21 05,202.4,2.938
BEITEM,2019-02-21 06,200.5,2.587
BEITEM,2019-02-21 07,202.4,3.044
BEITEM,2019-02-21 08,201.8,3.68
BEITEM,2019-02-21 09,196.3,3.136
BEITEM,2019-02-21 10,224.8,2.301
BEITEM,2019-02-21 11,222.5,3.653
BEITEM,2019-02-21 12,228.4,4.73
BEITEM,2019-02-21 13,243.4,4.44
BEITEM,2019-02-21 14,260.6,4.913
BEITEM,2019-02-21 15,253,3.655
BEITEM,2019-02-21 16,252.6,2.833
BEITEM,2019-02-21 17,254.1,2.267
BEITEM,2019-02-21 18,287.3,3.147
BEITEM,2019-02-21 19,261,3.159
BEITEM,2019-02-21 20,320.8,1.797
BEITEM,2019-02-21 21,254.9,1.811
BEITEM,2019-02-21 22,256.2,2.706
BEITEM,2019-02-21 23,281.4,3.488
BEITEM,2019-02-22 00,276.6,3.562
BEITEM,2019-02-22 01,309.1,2.409
BEITEM,2019-02-22 02,302,1.929
BEITEM,2019-02-22 03,311.7,1.056
BEITEM,2019-02-22 04,314,1.533
BEITEM,2019-02-22 05,298.3,1.282
BEITEM,2019-02-22 06,271.2,1
BEITEM,2019-02-22 07,286.3,1.611
BEITEM,2019-02-22 08,10.1,1
BEITEM,2019-02-22 09,103.9,1.444
BEITEM,2019-02-22 10,104.2,3.01
BEITEM,2019-02-22 11,138.2,2.949
BEITEM,2019-02-22 12,199.8,1.176
BEITEM,2019-02-22 13,335.7,1
BEITEM,2019-02-22 14,121.3,1
BEITEM,2019-02-22 15,139.3,2.825
BEITEM,2019-02-22 16,121.8,3.657
BEITEM,2019-02-22 17,93.4,1.664
BEITEM,2019-02-22 18,69.1,1.88
BEITEM,2019-02-22 19,73.6,1.552
BEITEM,2019-02-22 20,57.8,2.708
BEITEM,2019-02-22 21,57.1,2.433
BEITEM,2019-02-22 22,74.7,2.478
BEITEM,2019-02-22 23,83.1,2.003
BEITEM,2019-02-23 00,97.3,3.091
BEITEM,2019-02-23 01,89.6,1.833
BEITEM,2019-02-23 02,98.8,1.974
BEITEM,2019-02-23 03,98.4,1.955
BEITEM,2019-02-23 04,89.7,1.274
BEITEM,2019-02-23 05,80.4,1.695
BEITEM,2019-02-23 06,95.9,1.679
BEITEM,2019-02-23 07,104.4,1.866
BEITEM,2019-02-23 08,98.7,1.496
BEITEM,2019-02-23 09,110.5,2.27
BEITEM,2019-02-23 10,135.6,3.277
BEITEM,2019-02-23 11,150.2,3.516
BEITEM,2019-02-23 12,130,2.189
BEITEM,2019-02-23 13,98,2.403
BEITEM,2019-02-23 14,90,2.686
BEITEM,2019-02-23 15,90.5,3.313
BEITEM,2019-02-23 16,97.8,3.109
BEITEM,2019-02-23 17,110.5,2.09
